Drug	Target_Name	Target_Type	Target_UniProt	Target_Species	Database	Reference	Assay_Type	Assay_Relation	Assay_Value	EvidenceLevel_Assigned
Clofarabine	Clofarabine	RRM2	Protein	P31350	Homo sapiens	IUPHAR	1707752	IC50	=	5	III
Celecoxib	Celecoxib	CA12	Protein	O43570	Homo sapiens	IUPHAR	23965175	Ki	=	18	III
Celecoxib	Celecoxib	PDPK1	Protein	O15530	Homo sapiens	DrugBank	14973075	NA	NA	NA	II
Celecoxib	Celecoxib	PDPK1	Protein	O15530	Homo sapiens	DrugBank	15205346	NA	NA	NA	II
Celecoxib	Celecoxib	PDPK1	Protein	O15530	Homo sapiens	DrugBank	16887935	NA	NA	NA	II
Celecoxib	Celecoxib	PDPK1	Protein	O15530	Homo sapiens	DrugBank	16060857	NA	NA	NA	II
Celecoxib	Celecoxib	PDPK1	Protein	O15530	Homo sapiens	DrugBank	16455452	NA	NA	NA	II
Celecoxib	Celecoxib	PTGS2	Protein	P35354	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Celecoxib	Celecoxib	PTGS2	Protein	P35354	Homo sapiens	DrugBank	12093311	NA	NA	NA	II
Celecoxib	Celecoxib	PTGS2	Protein	P35354	Homo sapiens	DrugBank	12086292	NA	NA	NA	II
Celecoxib	Celecoxib	PTGS2	Protein	P35354	Homo sapiens	DrugBank	12055598	NA	NA	NA	II
Celecoxib	Celecoxib	PTGS2	Protein	P35354	Homo sapiens	DrugBank	12086402	NA	NA	NA	II
Celecoxib	Celecoxib	PTGS2	Protein	P35354	Homo sapiens	DrugBank	12104042	NA	NA	NA	II
Celecoxib	Celecoxib	PTGS2	Protein	P35354	Homo sapiens	IUPHAR	12643942	IC50	=	2	III
Mitomycin C	Mitomycin C	DNA	DNA	null	Homo sapiens	DrugBank	744262	NA	NA	NA	II
Mitomycin C	Mitomycin C	DNA	DNA	null	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Mitomycin C	Mitomycin C	DNA	DNA	null	Homo sapiens	DrugBank	2131038	NA	NA	NA	II
Mitomycin C	Mitomycin C	DNA	DNA	null	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Dasatinib	Dasatinib	SRC	Protein	P12931	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Dasatinib	Dasatinib	SRC	Protein	P12931	Homo sapiens	DrugBank	17429625	NA	NA	NA	II
Dasatinib	Dasatinib	SRC	Protein	P12931	Homo sapiens	DrugBank	16230377	NA	NA	NA	II
Dasatinib	Dasatinib	SRC	Protein	P12931	Homo sapiens	DrugBank	17148760	NA	NA	NA	II
Dasatinib	Dasatinib	SRC	Protein	P12931	Homo sapiens	DrugBank	16397263	NA	NA	NA	II
Dasatinib	Dasatinib	SRC	Protein	P12931	Homo sapiens	DrugBank	17155893	NA	NA	NA	II
Dasatinib	Dasatinib	SRC	Protein	P12931	Homo sapiens	IUPHAR	15930265	IC50	=	0.800000012	III
Dasatinib	Dasatinib	YES1	Protein	P07947	Homo sapiens	DrugBank	16507911	NA	NA	NA	II
Dasatinib	Dasatinib	YES1	Protein	P07947	Homo sapiens	DrugBank	20072833	NA	NA	NA	II
Dasatinib	Dasatinib	YES1	Protein	P07947	Homo sapiens	DrugBank	17541990	NA	NA	NA	II
Dasatinib	Dasatinib	PDGFRB	Protein	P09619	Homo sapiens	DrugBank	16436588	NA	NA	NA	II
Dasatinib	Dasatinib	PDGFRB	Protein	P09619	Homo sapiens	DrugBank	20072833	NA	NA	NA	II
Dasatinib	Dasatinib	PDGFRB	Protein	P09619	Homo sapiens	DrugBank	16497876	NA	NA	NA	II
Dasatinib	Dasatinib	STAT5B	Protein	P51692	Homo sapiens	DrugBank	17020995	NA	NA	NA	II
Dasatinib	Dasatinib	STAT5B	Protein	P51692	Homo sapiens	DrugBank	17431118	NA	NA	NA	II
Dasatinib	Dasatinib	KIT	Protein	P10721	Homo sapiens	DrugBank	16434489	NA	NA	NA	II
Dasatinib	Dasatinib	KIT	Protein	P10721	Homo sapiens	DrugBank	16397263	NA	NA	NA	II
Dasatinib	Dasatinib	KIT	Protein	P10721	Homo sapiens	DrugBank	17351742	NA	NA	NA	II
Dasatinib	Dasatinib	ABL2	Protein	P42684	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Dasatinib	Dasatinib	ABL2	Protein	P42684	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Dasatinib	Dasatinib	ABL2	Protein	P42684	Homo sapiens	DrugBank	20072833	NA	NA	NA	II
Dasatinib	Dasatinib	LCK	Protein	P06239	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Dasatinib	Dasatinib	LCK	Protein	P06239	Homo sapiens	DrugBank	17154512	NA	NA	NA	II
Dasatinib	Dasatinib	LCK	Protein	P06239	Homo sapiens	DrugBank	20072833	NA	NA	NA	II
Dasatinib	Dasatinib	ABL1	Protein	P00519	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Dasatinib	Dasatinib	ABL1	Protein	P00519	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Dasatinib	Dasatinib	ABL1	Protein	P00519	Homo sapiens	DrugBank	17701954	NA	NA	NA	II
Dasatinib	Dasatinib	ABL1	Protein	P00519	Homo sapiens	IUPHAR	23279183	IC50	=	0.270000011	III
Dasatinib	Dasatinib	EPHA2	Protein	P29317	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Dasatinib	Dasatinib	EPHA2	Protein	P29317	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Dasatinib	Dasatinib	EPHA2	Protein	P29317	Homo sapiens	DrugBank	20072833	NA	NA	NA	II
Dasatinib	Dasatinib	FYN	Protein	P06241	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Dasatinib	Dasatinib	FYN	Protein	P06241	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Dasatinib	Dasatinib	FYN	Protein	P06241	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Dasatinib	Dasatinib	FYN	Protein	P06241	Homo sapiens	DrugBank	20072833	NA	NA	NA	II
Halofuginone	Halofuginone	COL1A1	Protein	P02452	Homo sapiens	DrugBank	11099465	NA	NA	NA	II
Halofuginone	Halofuginone	MMP2	Protein	P08253	Homo sapiens	DrugBank	11099465	NA	NA	NA	II
Temozolomide	Temozolomide	DNA	DNA	null	Homo sapiens	DrugBank	20564393	NA	NA	NA	II
Temozolomide	Temozolomide	DNA	DNA	null	Homo sapiens	DrugBank	20224797	NA	NA	NA	II
Temozolomide	Temozolomide	DNA	DNA	null	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Temozolomide	Temozolomide	DNA	DNA	null	Homo sapiens	DrugBank	17896912	NA	NA	NA	II
Temozolomide	Temozolomide	DNA	DNA	null	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Temozolomide	Temozolomide	DNA	DNA	null	Homo sapiens	DrugBank	10914698	NA	NA	NA	II
Temozolomide	Temozolomide	DNA	DNA	null	Homo sapiens	DrugBank	17886562	NA	NA	NA	II
Temozolomide	Temozolomide	DNA	DNA	null	Homo sapiens	DrugBank	17897837	NA	NA	NA	II
Temozolomide	Temozolomide	DNA	DNA	null	Homo sapiens	DrugBank	18772354	NA	NA	NA	II
Linifanib	Linifanib	PDGFRB	Protein	P09619	Homo sapiens	IUPHAR	16648571	IC50	=	66	III
Linifanib	Linifanib	CDK8	Protein	P49336	Homo sapiens	IUPHAR	26502155	Kd	=	6.840000153	III
Linifanib	Linifanib	RET	Protein	P07949	Homo sapiens	IUPHAR	16648571	IC50	=	1900	III
Linifanib	Linifanib	KIT	Protein	P10721	Homo sapiens	DrugBank	NA_DrugBank	NA	NA	NA	I
Linifanib	Linifanib	KIT	Protein	P10721	Homo sapiens	IUPHAR	16648571	IC50	=	14	III
Linifanib	Linifanib	FLT4	Protein	P35916	Homo sapiens	DrugBank	NA_DrugBank	NA	NA	NA	I
Linifanib	Linifanib	FLT4	Protein	P35916	Homo sapiens	IUPHAR	16648571	IC50	=	190	III
Linifanib	Linifanib	CDK19	Protein	Q9BWU1	Homo sapiens	IUPHAR	26502155	Kd	=	11.89999962	III
Linifanib	Linifanib	KDR	Protein	P35968	Homo sapiens	DrugBank	NA_DrugBank	NA	NA	NA	I
Linifanib	Linifanib	KDR	Protein	P35968	Homo sapiens	IUPHAR	16648571	IC50	=	4	III
Linifanib	Linifanib	TEK	Protein	Q02763	Homo sapiens	IUPHAR	16648571	IC50	=	170	III
Linifanib	Linifanib	FLT1	Protein	P17948	Homo sapiens	DrugBank	NA_DrugBank	NA	NA	NA	I
Linifanib	Linifanib	FLT1	Protein	P17948	Homo sapiens	IUPHAR	16648571	IC50	=	3	III
Linifanib	Linifanib	CSF1R	Protein	P07333	Homo sapiens	DrugBank	NA_DrugBank	NA	NA	NA	I
Linifanib	Linifanib	CSF1R	Protein	P07333	Homo sapiens	IUPHAR	16648571	IC50	=	3	III
Linifanib	Linifanib	FLT3	Protein	P36888	Homo sapiens	DrugBank	NA_DrugBank	NA	NA	NA	I
Linifanib	Linifanib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	22037378	Kd	=	0.629999995	III
Linifanib	Linifanib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	16648571	IC50	=	4	III
Docetaxel	Docetaxel	BCL2	Protein	P10415	Homo sapiens	DrugBank	15643508	NA	NA	NA	II
Docetaxel	Docetaxel	BCL2	Protein	P10415	Homo sapiens	DrugBank	15685445	NA	NA	NA	II
Docetaxel	Docetaxel	BCL2	Protein	P10415	Homo sapiens	DrugBank	17674353	NA	NA	NA	II
Docetaxel	Docetaxel	BCL2	Protein	P10415	Homo sapiens	DrugBank	15714982	NA	NA	NA	II
Docetaxel	Docetaxel	BCL2	Protein	P10415	Homo sapiens	DrugBank	15161985	NA	NA	NA	II
Docetaxel	Docetaxel	BCL2	Protein	P10415	Homo sapiens	DrugBank	15277270	NA	NA	NA	II
Docetaxel	Docetaxel	TUBB1	Protein	Q9H4B7	Homo sapiens	DrugBank	11309480	NA	NA	NA	II
Docetaxel	Docetaxel	TUBB1	Protein	Q9H4B7	Homo sapiens	DrugBank	18559268	NA	NA	NA	II
Docetaxel	Docetaxel	TUBB1	Protein	Q9H4B7	Homo sapiens	DrugBank	15698529	NA	NA	NA	II
Docetaxel	Docetaxel	TUBB1	Protein	Q9H4B7	Homo sapiens	DrugBank	15161985	NA	NA	NA	II
Docetaxel	Docetaxel	NR1I2	Protein	O75469	Homo sapiens	DrugBank	15492266	NA	NA	NA	II
Docetaxel	Docetaxel	MAP4	Protein	P27816	Homo sapiens	DrugBank	18068131	NA	NA	NA	II
Docetaxel	Docetaxel	MAPT	Protein	P10636	Homo sapiens	DrugBank	18068131	NA	NA	NA	II
Docetaxel	Docetaxel	TUBB	Protein	P07437	Homo sapiens	IUPHAR	NA_IUPHAR	NA	NA	NA	I
Docetaxel	Docetaxel	MAP2	Protein	P11137	Homo sapiens	DrugBank	18068131	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	FCGR3B	Protein	O75015	Homo sapiens	DrugBank	9020367	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	FCGR3B	Protein	O75015	Homo sapiens	DrugBank	9337053	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	FCGR3B	Protein	O75015	Homo sapiens	DrugBank	8707338	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	FCGR2C	Protein	P31995	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	FCGR2C	Protein	P31995	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	FCGR2A	Protein	P12318	Homo sapiens	DrugBank	15217834	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	C1R	Protein	P00736	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	C1R	Protein	P00736	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	FCGR2B	Protein	P31994	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	FCGR2B	Protein	P31994	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	FCGR3A	Protein	P08637	Homo sapiens	DrugBank	15217834	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	C1QB	Protein	P02746	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	C1QB	Protein	P02746	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	FCGR1A	Protein	P12314	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	FCGR1A	Protein	P12314	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	CD52	Protein	P31358	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	CD52	Protein	P31358	Homo sapiens	DrugBank	10366506	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	CD52	Protein	P31358	Homo sapiens	DrugBank	10573085	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	CD52	Protein	P31358	Homo sapiens	DrugBank	10520035	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	CD52	Protein	P31358	Homo sapiens	IUPHAR	9593475	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	CD52	Protein	P31358	Homo sapiens	DrugBank	10092828	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	CD52	Protein	P31358	Homo sapiens	DrugBank	10744652	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	CD52	Protein	P31358	Homo sapiens	DrugBank	19479612	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	CD52	Protein	P31358	Homo sapiens	DrugBank	19343298	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	C1QC	Protein	P02747	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	C1QC	Protein	P02747	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	C1QA	Protein	P02745	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Alemtuzumab	Alemtuzumab	C1QA	Protein	P02745	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Genistein	Genistein	TOP2A	Protein	P11388	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Genistein	Genistein	TOP2A	Protein	P11388	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Genistein	Genistein	ESRRG	Protein	P62508	Homo sapiens	IUPHAR	14638870	NA	NA	NA	II
Genistein	Genistein	TRPC5	Protein	Q9UL62	Homo sapiens	IUPHAR	20233211	NA	NA	NA	II
Genistein	Genistein	NCOA2	Protein	Q15596	Homo sapiens	DrugBank	10592235	NA	NA	NA	II
Genistein	Genistein	NCOA1	Protein	Q15788	Homo sapiens	DrugBank	10592235	NA	NA	NA	II
Genistein	Genistein	ESR1	Protein	P03372	Homo sapiens	DrugBank	10592235	NA	NA	NA	II
Genistein	Genistein	ESR2	Protein	Q92731	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Genistein	Genistein	ESR2	Protein	Q92731	Homo sapiens	DrugBank	10592235	NA	NA	NA	II
Genistein	Genistein	ESR2	Protein	Q92731	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Genistein	Genistein	ESR2	Protein	Q92731	Homo sapiens	IUPHAR	9048584	NA	NA	NA	II
Genistein	Genistein	CFTR	Protein	P13569	Homo sapiens	IUPHAR	NA_IUPHAR	NA	NA	NA	I
Genistein	Genistein	ESRRB	Protein	O95718	Homo sapiens	IUPHAR	14638870	NA	NA	NA	II
Genistein	Genistein	PTK2B	Protein	Q14289	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Genistein	Genistein	PTK2B	Protein	Q14289	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Genistein	Genistein	ESRRA	Protein	P11474	Homo sapiens	IUPHAR	14638870	NA	NA	NA	II
JQ1	JQ1	BRDT	Protein	Q58F21	Homo sapiens	IUPHAR	22901802	IC50	=	11	III
JQ1	JQ1	Brdt	Protein	Q91Y44	Mouse	IUPHAR	22901802	IC50	=	10	III
JQ1	JQ1	BRD4	Protein	O60885	Homo sapiens	IUPHAR	20871596	Kd	=	50	III
Ixabepilone	Ixabepilone	TUBB3	Protein	Q13509	Homo sapiens	DrugBank	18945860	NA	NA	NA	II
Ixabepilone	Ixabepilone	TUBB3	Protein	Q13509	Homo sapiens	DrugBank	18378531	NA	NA	NA	II
Ixabepilone	Ixabepilone	TUBB3	Protein	Q13509	Homo sapiens	DrugBank	18321240	NA	NA	NA	II
Ixabepilone	Ixabepilone	TUBB	Protein	P07437	Homo sapiens	IUPHAR	NA_IUPHAR	NA	NA	NA	I
SB-431542	SB-431542	ACVR1C	Protein	Q8NER5	Homo sapiens	IUPHAR	23130626	NA	NA	NA	II
SB-431542	SB-431542	ACVR1C	Protein	Q8NER5	Homo sapiens	IUPHAR	19616940	NA	NA	NA	II
SB-431542	SB-431542	TGFBR1	Protein	P36897	Homo sapiens	IUPHAR	11855979	IC50	=	94	III
Plk1 Inhibitor BI 2536	Plk1 Inhibitor BI 2536	PLK3	Protein	Q9H4B4	Homo sapiens	IUPHAR	17291758	IC50	=	9	III
Plk1 Inhibitor BI 2536	Plk1 Inhibitor BI 2536	PLK2	Protein	Q9NYY3	Homo sapiens	IUPHAR	17291758	IC50	=	3.5	III
Plk1 Inhibitor BI 2536	Plk1 Inhibitor BI 2536	PLK1	Protein	P53350	Homo sapiens	IUPHAR	17291758	IC50	=	0.829999983	III
Plk1 Inhibitor BI 2536	Plk1 Inhibitor BI 2536	PLK1	Protein	P53350	Homo sapiens	IUPHAR	23103095	Ki	=	3	III
Plk1 Inhibitor BI 2536	Plk1 Inhibitor BI 2536	BRD4	Protein	O60885	Homo sapiens	IUPHAR	24584101	Kd	=	37	III
Pamidronate Disodium	Pamidronate Disodium	FDPS	Protein	P14324	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	FDPS	Protein	P14324	Homo sapiens	DrugBank	10620343	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	FDPS	Protein	P14324	Homo sapiens	DrugBank	12177810	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	FDPS	Protein	P14324	Homo sapiens	DrugBank	11160603	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	FDPS	Protein	P14324	Homo sapiens	DrugBank	15713990	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	FDPS	Protein	P14324	Homo sapiens	DrugBank	15487700	NA	NA	NA	II
Pamidronate Disodium	Pamidronate Disodium	FDPS	Protein	P14324	Homo sapiens	IUPHAR	18327899	IC50	=	200	III
Alectinib	Alectinib	MET	Protein	P08581	Homo sapiens	IUPHAR	22225917	IC50	>	5000	III
Alectinib	Alectinib	ALK	Protein	Q9UM73	Homo sapiens	DrugBank	NA_DrugBank	NA	NA	NA	I
Alectinib	Alectinib	ALK	Protein	Q9UM73	Homo sapiens	IUPHAR	22225917	IC50	=	1.899999976	III
Zebularine	Zebularine	Cytidine deaminase	Protein	P0ABF6	Escherichia coli (strain K12)	DrugBank	17016423	NA	NA	NA	II
Zebularine	Zebularine	Cytidine deaminase	Protein	P0ABF6	Escherichia coli (strain K12)	DrugBank	17139284	NA	NA	NA	II
PHA-665752	PHA-665752	MET	Protein	P08581	Homo sapiens	IUPHAR	22037378	Kd	=	0.270000011	III
PHA-665752	PHA-665752	MET	Protein	P08581	Homo sapiens	IUPHAR	14612533	Ki	=	4	III
Taselisib	Taselisib	PIK3CG	Protein	P48736	Homo sapiens	IUPHAR	23662903	Ki	=	0.970000029	III
Taselisib	Taselisib	PIK3CA	Protein	P42336	Homo sapiens	IUPHAR	23662903	Ki	=	0.289999992	III
Taselisib	Taselisib	PIK3CD	Protein	O00329	Homo sapiens	IUPHAR	23662903	Ki	=	0.209999993	III
Taselisib	Taselisib	PIK3CB	Protein	P42338	Homo sapiens	IUPHAR	23662903	Ki	=	9.100000381	III
Ralimetinib	Ralimetinib	MAPK14	Protein	Q16539	Homo sapiens	IUPHAR	18039577	IC50	=	7	III
Methotrexate	Methotrexate	DHFR	Protein	P00374	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Methotrexate	Methotrexate	DHFR	Protein	P00374	Homo sapiens	DrugBank	16647263	NA	NA	NA	II
Methotrexate	Methotrexate	DHFR	Protein	P00374	Homo sapiens	DrugBank	16971132	NA	NA	NA	II
Methotrexate	Methotrexate	DHFR	Protein	P00374	Homo sapiens	DrugBank	17333344	NA	NA	NA	II
Methotrexate	Methotrexate	DHFR	Protein	P00374	Homo sapiens	DrugBank	17130456	NA	NA	NA	II
Methotrexate	Methotrexate	DHFR	Protein	P00374	Homo sapiens	DrugBank	16936229	NA	NA	NA	II
Methotrexate	Methotrexate	DHFR	Protein	P00374	Homo sapiens	IUPHAR	7877140	Ki	=	1.200000048	III
Methotrexate	Methotrexate	SLC19A1	Protein	P41440	Homo sapiens	IUPHAR	15615544	Ki	=	4700	III
Ixazomib Citrate	Ixazomib Citrate	PSMB5	Protein	P28074	Homo sapiens	IUPHAR	20160034	Ki	=	0.930000007	III
Degarelix	Degarelix	GNRHR	Protein	P30968	Homo sapiens	DrugBank	19450172	NA	NA	NA	II
Degarelix	Degarelix	GNRHR	Protein	P30968	Homo sapiens	DrugBank	20053189	NA	NA	NA	II
Degarelix	Degarelix	GNRHR	Protein	P30968	Homo sapiens	DrugBank	15705170	NA	NA	NA	II
Degarelix	Degarelix	GNRHR	Protein	P30968	Homo sapiens	DrugBank	20110043	NA	NA	NA	II
Degarelix	Degarelix	GNRHR	Protein	P30968	Homo sapiens	IUPHAR	21188095	Ki	=	1.700000048	III
Daratumumab	Daratumumab	CD38	Protein	P28907	Homo sapiens	DrugBank	21187443	NA	NA	NA	II
Daratumumab	Daratumumab	CD38	Protein	P28907	Homo sapiens	IUPHAR	NA_IUPHAR	Kd	=	6.059999943	I
Toremifene	Toremifene	ESR1	Protein	P03372	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Toremifene	Toremifene	ESR1	Protein	P03372	Homo sapiens	DrugBank	12870885	NA	NA	NA	II
Toremifene	Toremifene	ESR1	Protein	P03372	Homo sapiens	DrugBank	18279543	NA	NA	NA	II
Toremifene	Toremifene	ESR1	Protein	P03372	Homo sapiens	DrugBank	17062721	NA	NA	NA	II
Toremifene	Toremifene	ESR1	Protein	P03372	Homo sapiens	DrugBank	16595024	NA	NA	NA	II
Toremifene	Toremifene	ESR1	Protein	P03372	Homo sapiens	DrugBank	16503765	NA	NA	NA	II
Toremifene	Toremifene	ESR1	Protein	P03372	Homo sapiens	DrugBank	11747628	NA	NA	NA	II
Toremifene	Toremifene	ESR1	Protein	P03372	Homo sapiens	DrugBank	16515478	NA	NA	NA	II
Toremifene	Toremifene	ESR1	Protein	P03372	Homo sapiens	DrugBank	16917142	NA	NA	NA	II
Toremifene	Toremifene	ESR1	Protein	P03372	Homo sapiens	DrugBank	17503894	NA	NA	NA	II
Toremifene	Toremifene	ESR1	Protein	P03372	Homo sapiens	DrugBank	15369444	NA	NA	NA	II
Cisplatin	Cisplatin	DNA	DNA	null	Homo sapiens	DrugBank	8640534	NA	NA	NA	II
Cisplatin	Cisplatin	DNA	DNA	null	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Cisplatin	Cisplatin	DNA	DNA	null	Homo sapiens	DrugBank	17932658	NA	NA	NA	II
Cisplatin	Cisplatin	DNA	DNA	null	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Cisplatin	Cisplatin	DNA	DNA	null	Homo sapiens	DrugBank	17900616	NA	NA	NA	II
Axitinib	Axitinib	FLT1	Protein	P17948	Homo sapiens	DrugBank	18541897	NA	NA	NA	II
Axitinib	Axitinib	PLK4	Protein	O00444	Homo sapiens	IUPHAR	23829549	IC50	=	46	III
Axitinib	Axitinib	KDR	Protein	P35968	Homo sapiens	DrugBank	18541897	NA	NA	NA	II
Axitinib	Axitinib	KDR	Protein	P35968	Homo sapiens	IUPHAR	22037378	Kd	=	5.900000095	III
Axitinib	Axitinib	KDR	Protein	P35968	Homo sapiens	IUPHAR	20869793	IC50	=	0.25	III
Axitinib	Axitinib	FLT4	Protein	P35916	Homo sapiens	DrugBank	18541897	NA	NA	NA	II
Quizartinib	Quizartinib	RET	Protein	P07949	Homo sapiens	IUPHAR	19754199	Kd	=	9.899999619	III
Quizartinib	Quizartinib	PDGFRA	Protein	P16234	Homo sapiens	IUPHAR	19754199	Kd	=	11	III
Quizartinib	Quizartinib	CSF1R	Protein	P07333	Homo sapiens	IUPHAR	19754199	Kd	=	12	III
Quizartinib	Quizartinib	KIT	Protein	P10721	Homo sapiens	IUPHAR	19754199	Kd	=	4.800000191	III
Quizartinib	Quizartinib	FLT3	Protein	P36888	Homo sapiens	DrugBank	NA_DrugBank	NA	NA	NA	I
Quizartinib	Quizartinib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	22037378	Kd	=		III
Quizartinib	Quizartinib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	19754199	Kd	=		III
Quizartinib	Quizartinib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	19654408	IC50	=	4.199999809	III
Quizartinib	Quizartinib	PDGFRB	Protein	P09619	Homo sapiens	IUPHAR	19754199	Kd	=	7.699999809	III
Atezolizumab	Atezolizumab	CD274	Protein	Q9NZQ7	Homo sapiens	IUPHAR	NA_IUPHAR	Kd	=		I
Lestaurtinib	Lestaurtinib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	22037378	Kd	=	8.5	III
Dovitinib	Dovitinib	PDGFRB	Protein	P09619	Homo sapiens	IUPHAR	15598814	IC50	=		III
Dovitinib	Dovitinib	PDGFRB	Protein	P09619	Homo sapiens	IUPHAR	19113866	IC50	=		III
Dovitinib	Dovitinib	EGFR	Protein	P00533	Homo sapiens	IUPHAR	15598814	IC50	=	2000	III
Dovitinib	Dovitinib	KDR	Protein	P35968	Homo sapiens	IUPHAR	15598814	IC50	=		III
Dovitinib	Dovitinib	KDR	Protein	P35968	Homo sapiens	IUPHAR	19113866	IC50	=		III
Dovitinib	Dovitinib	FGFR1	Protein	P11362	Homo sapiens	IUPHAR	15598814	IC50	=		III
Dovitinib	Dovitinib	FGFR1	Protein	P11362	Homo sapiens	IUPHAR	19113866	IC50	=		III
Dovitinib	Dovitinib	PDGFRA	Protein	P16234	Homo sapiens	IUPHAR	15598814	IC50	=	210	III
Dovitinib	Dovitinib	FLT4	Protein	P35916	Homo sapiens	IUPHAR	15598814	IC50	=		III
Dovitinib	Dovitinib	FLT4	Protein	P35916	Homo sapiens	IUPHAR	19113866	IC50	=		III
Dovitinib	Dovitinib	INSR	Protein	P06213	Homo sapiens	IUPHAR	15598814	IC50	=	2000	III
Dovitinib	Dovitinib	KIT	Protein	P10721	Homo sapiens	IUPHAR	15598814	IC50	=		III
Dovitinib	Dovitinib	KIT	Protein	P10721	Homo sapiens	IUPHAR	19113866	IC50	=		III
Dovitinib	Dovitinib	CSF1R	Protein	P07333	Homo sapiens	IUPHAR	15598814	IC50	=		III
Dovitinib	Dovitinib	CSF1R	Protein	P07333	Homo sapiens	IUPHAR	19113866	IC50	=		III
Dovitinib	Dovitinib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	22037378	Kd	=	0.639999986	III
Dovitinib	Dovitinib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	15598814	IC50	=		III
Dovitinib	Dovitinib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	19113866	IC50	=		III
