Drug	Target_Name	UniProt_ID	Target_Org	PubMedIDs
NADH	GDP-L-fucose synthase	Q13630	Human	17016423|17139284
NADH	Aldo-keto reductase family 1 member C1	Q04828	Human	11060293|17016423|2615366|3463506|17139284
NADH	Corticosteroid 11-beta-dehydrogenase isozyme 1	P28845	Human	17016423|8585102|9141556|17139284
NADH	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2	P26439	Human	1911436|17016423|239964|17139284|3476810
NADH	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1	P14060	Human	17016423|17139284|2362440|3476810|2961942
NADH	Inosine-5'-monophosphate dehydrogenase 1	P20839	Human	17016423|16384941|17139284
NADH	Trifunctional enzyme subunit alpha, mitochondrial	P40939	Human	17016423|17139284
NADH	Aldehyde dehydrogenase, mitochondrial	P05091	Human	17488809|16961761
NADH	Corticosteroid 11-beta-dehydrogenase isozyme 2	P80365	Human	17016423|8585102|17139284|1727721
NADH	Aldo-keto reductase family 1 member C2	P52895	Human	12416991|17016423|17139284|12810547
NADH	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating	Q15738	Human	17016423|17139284|15805545
NADH	Aldehyde dehydrogenase family 3 member B2	P48448	Human	17016423|17139284
NADH	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial	Q02252	Human	17016423|17139284|1898092
NADH	Aldehyde dehydrogenase, dimeric NADP-preferring	P30838	Human	17016423|17139284|16583981
NADH	Retinal dehydrogenase 1	P00352	Human	17016423|17139284|11872149|16583981
NADH	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific	O14556	Human	17016423|12492483|15488735|17139284|16239728
NADH	4-trimethylaminobutyraldehyde dehydrogenase	P49189	Human	17016423|7584606|17139284|3129020
NADH	Aldehyde dehydrogenase family 1 member A3	P47895	Human	17016423|16241904|17139284
NADH	Aldehyde dehydrogenase X, mitochondrial	P30837	Human	17016423|17139284
NADH	Aldehyde dehydrogenase family 3 member B1	P43353	Human	17016423|17139284
NADH	Glyceraldehyde-3-phosphate dehydrogenase	P04406	Human	17031544|17508915|16898590|17194030
NADH	Retinal dehydrogenase 2	O94788	Human	17016423|10320326|17139284|11872149
NADH	Fatty aldehyde dehydrogenase	P51648	Human	17016423|17139284|6603890
NADH	Succinate-semialdehyde dehydrogenase, mitochondrial	P51649	Human	17016423|17139284
NADH	Alpha-aminoadipic semialdehyde dehydrogenase	P49419	Human	9355735|17016423|17139284
NADH	Flavin reductase (NADPH)	P30043	Human	17559398
NADH	Pyrroline-5-carboxylate reductase 2	Q96C36	Human	17016423|17139284|11479381
NADH	Pyrroline-5-carboxylate reductase 1, mitochondrial	P32322	Human	17474756|16777263
NADH	Glutamate dehydrogenase 1, mitochondrial	P00367	Human	17016423|17139284
NADH	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	P11177	Human	17016423|17139284|1116996
NADH	Pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial	P29803	Human	17016423|17139284
NADH	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial	P08559	Human	17016423|17139284
NADH	Biliverdin reductase A	P53004	Human	17402939
NADH	Short-chain specific acyl-CoA dehydrogenase, mitochondrial	P16219	Human	17016423|17139284
NADH	Dihydrofolate reductase	P00374	Human	17115689|17032644
NADH	2-oxoglutarate dehydrogenase, mitochondrial	Q02218	Human	17668068
NADH	Glutamate dehydrogenase 2, mitochondrial	P49448	Human	17016423|17139284
NADH	7-dehydrocholesterol reductase	Q9UBM7	Human	17016423|17139284
NADH	Ribosyldihydronicotinamide dehydrogenase [quinone]	P16083	Human	17031400|16905546
NADH	NADH-ubiquinone oxidoreductase chain 2	P03891	Human	12882707|17016423|15700717|17139284|11752352
NADH	Alpha-aminoadipic semialdehyde synthase, mitochondrial	Q9UDR5	Human	17542618|17223709|17002315
NADH	NADH-ubiquinone oxidoreductase chain 3	P03897	Human	17016423|17139284|11752352
NADH	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial	O75251	Human	17016423|8938450|8369340|10097178|17139284
NADH	C-1-tetrahydrofolate synthase, cytoplasmic	P11586	Human	17016423|17139284
NADH	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	P13995	Human	17016423|17139284
NADH	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial	P30038	Human	16934832
NADH	NADH-cytochrome b5 reductase 3	P00387	Human	17341833|16814740|17082011|17401193|17040106
NADH	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11	Q86Y39	Human	17016423|17139284
NADH	NADH-ubiquinone oxidoreductase chain 4	P03905	Human	17016423|9950599|15560738|17139284|7846157
NADH	Dihydropteridine reductase	P09417	Human	17016423|6820434|17139284|3086306|10814540
NADH	NADH-ubiquinone oxidoreductase chain 1	P03886	Human	17016423|17139284|11752352
NADH	NAD(P) transhydrogenase, mitochondrial	Q13423	Human	17216441
NADH	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5	Q16718	Human	17444656|17209562
NADH	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial	Q16795	Human	17132781|17530440|17260964|17323923|17499024
NADH	NADH-ubiquinone oxidoreductase chain 4L	P03901	Human	17016423|17139284
NADH	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	O95299	Human	17016423|17139284
NADH	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7	O95182	Human	17016423|17139284
NADH	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	O15239	Human	11864782|17016423|17139284|10200266
NADH	NADH-ubiquinone oxidoreductase chain 6	P03923	Human	17016423|17139284
NADH	NADH-ubiquinone oxidoreductase chain 5	P03915	Human	17016423|17614984|17139284|9071018
NADH	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4	O00483	Human	17016423|17139284
NADH	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6	P56556	Human	17016423|17139284
NADH	Acyl carrier protein, mitochondrial	O14561	Human	17016423|17139284
NADH	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	O43678	Human	17016423|17139284
NADH	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8	P51970	Human	17016423|9860297|17139284
NADH	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3	O95167	Human	17016423|17139284
NADH	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial	O95169	Human	17016423|17139284
NADH	NADH dehydrogenase [ubiquinone] 1 subunit C2	O95298	Human	17614984|17513495|16898010|17496098|17015645
NADH	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1	O75438	Human	17016423|17139284
NADH	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial	P28331	Human	17016423|17139284
NADH	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	O96000	Human	17016423|17139284
NADH	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	O95168	Human	17016423|17139284
NADH	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	O43676	Human	17016423|17139284
NADH	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial	O95178	Human	17016423|17139284
NADH	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7	P17568	Human	11864782|17016423|17139284
NADH	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9	Q9Y6M9	Human	17016423|17139284
NADH	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial	O75306	Human	17016423|17139284
NADH	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial	O43674	Human	17016423|17139284
NADH	NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial	O43677	Human	17016423|17139284
NADH	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6	O95139	Human	17016423|17139284
NADH	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial	P56181	Human	17016423|17139284
NADH	Dihydrolipoyl dehydrogenase, mitochondrial	P09622	Human	17017892|17315258|17314104
NADH	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	O75489	Human	17016423|17139284
NADH	Glutathione reductase, mitochondrial	P00390	Human	17550271|17502280|17540766|17565998|17053903
NADH	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12	Q9UI09	Human	17016423|17139284
NADH	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	O43920	Human	17016423|10070614|17139284
NADH	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	O43181	Human	11864782|17016423|11860175|17139284|11181577
NADH	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial	P49821	Human	17016423|17139284|8288251|14662656|9571201
NADH	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	P19404	Human	17016423|17139284|10716640
NADH	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13	Q9P0J0	Human	17016423|17139284
NADH	Cysteine dioxygenase type 1	Q16878	Human	17016423|17139284
NADH	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial	O75380	Human	17016423|17139284
NADH	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2	Q9NRX3	Human	17016423|17139284
NADH	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	O00217	Human	17016423|11086155|9576793|17139284|9837812
NADH	Cytochrome P450 4A11	Q02928	Human	17016423|11246504|17139284
NADH	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	P10515	Human	17016423|17139284|16368957
NADH	Aminomethyltransferase, mitochondrial	P48728	Human	17016423|17139284
NADH	Methylsterol monooxygenase 1	Q15800	Human	17016423|17139284
NADH	Heme oxygenase 1	P09601	Human	12897089|17016423|12699699|17139284
NADH	Heme oxygenase 2	P30519	Human	16986858|17157188
NADH	Steroid 17-alpha-hydroxylase/17,20 lyase	P05093	Human	17595315
NADH	Tyrosinase	P14679	Human	17292452|16790533
Folic Acid	Folate receptor beta	P14207	Human	17035141|16704197|11752352|16620997
Folic Acid	Folate receptor gamma	P41439	Human	17016423|7727426|8061055|17139284|11752352|8110752
Icosapent	Prostaglandin G/H synthase 2	P35354	Human	12573452|17459764|12562875|16141635|20463020|16190133
Icosapent	Prostaglandin G/H synthase 1	P23219	Human	11477109|14993240|16141635|12562875|20463020|15990700|16190133
Icosapent	Peroxisome proliferator-activated receptor gamma	P37231	Human	11552681|16702329|12055328|17052999|17610002
Icosapent	Peroxisome proliferator-activated receptor delta	Q03181	Human	11552681|17632107|9610365|10198642|16507691
Icosapent	Fatty acid desaturase 1	O60427	Human	9917342|10917903|9610840|10685788|11026622
Icosapent	Long-chain-fatty-acid--CoA ligase 4	O60488	Human	15108178|12784866
Icosapent	Long-chain-fatty-acid--CoA ligase 3	O95573	Human	17016423|17139284
Icosapent	Free fatty acid receptor 1	O14842	Human	16214394
Icosapent	Sodium/calcium exchanger 1	P32418	Human	15358223
Icosapent	Transient receptor potential cation channel subfamily V member 1	Q8NER1	Human	17038422
L-Alanine	Serine--pyruvate aminotransferase	P21549	Human	10453743|17016423|11562405|17139284|17110443
L-Alanine	4-aminobutyrate aminotransferase, mitochondrial	P80404	Human	11752352|17504214
L-Alanine	Kynureninase	Q16719	Human	17300176|17334708
L-Alanine	Alanine--tRNA ligase, mitochondrial	Q5JTZ9	Human	10871402|17016423|17139284|8601277|7742303
L-Alanine	5-phosphohydroxy-L-lysine phospho-lyase	Q8IUZ5	Human	17016423|17139284
L-Alanine	Alanine aminotransferase 2	Q8TD30	Human	17016423|15122758|11863375|17139284|16495081
L-Alanine	Alanine aminotransferase 1	P24298	Human	17319845|17163821|17403374|17353078
L-Alanine	Cysteine desulfurase, mitochondrial	Q9Y697	Human	17660944|17469805
L-Alanine	Proton-coupled amino acid transporter 1	Q7Z2H8	Human	17016423|17139284|16373326
L-Alanine	Large neutral amino acids transporter small subunit 2	Q9UHI5	Human	17504263
L-Alanine	Alanine--glyoxylate aminotransferase 2, mitochondrial	Q9BYV1	Human	17016423|6703688|2907870|17139284
L-Alanine	Alanine--tRNA ligase, cytoplasmic	P49588	Human	10871402|17016423|17139284|8601277|7742303
L-Alanine	Neutral amino acid transporter A	P43007	Human	17510490|17195090|17237199|17475673|17311416
L-Valine	Propionyl-CoA carboxylase beta chain, mitochondrial	P05166	Human	17016423|12409268|17139284
L-Valine	Branched-chain-amino-acid aminotransferase, cytosolic	P54687	Human	17077963|17554170|15667998
L-Valine	Valine--tRNA ligase	P26640	Human	17095543|15710393
Vitamin A	Retinol dehydrogenase 12	Q96NR8	Human	16269441|17512723|17032653
Vitamin A	Short-chain dehydrogenase/reductase 3	O75911	Human	17016423|12697717|17139284|9705317|11861404
Vitamin A	Aldehyde dehydrogenase family 1 member A3	P47895	Human	17270546|15950969|17184764|17486539
Vitamin A	All-trans-retinol 13,14-reductase	Q6NUM9	Human	17253779
Vitamin A	Retinol dehydrogenase 11	Q8TC12	Human	16787387
Vitamin A	Dehydrogenase/reductase SDR family member 4	Q9BTZ2	Human	17534402
Vitamin A	Retinol dehydrogenase 14	Q9HBH5	Human	17016423|17139284
Vitamin A	Retinol dehydrogenase 8	Q9NYR8	Human	17081426|14661078|17016423|14718298|17139284
Vitamin A	Lecithin retinol acyltransferase	O95237	Human	16174770|16054134
Vitamin A	Retinol-binding protein 1	P09455	Human	15951260|16156801|15994349|16157297|16011460
Vitamin A	11-cis retinol dehydrogenase	Q92781	Human	16860536|17608724|16566595|16837774|17435174
Vitamin A	Retinol dehydrogenase 13	Q8NBN7	Human	17512723
Vitamin A	Retinol-binding protein 3	P10745	Human	15935345|17602665|17049961|15928609|17200663
Vitamin A	Retinal dehydrogenase 2	O94788	Human	17270546|17184764|16982809|17098734|16538685
Vitamin A	Retinal dehydrogenase 1	P00352	Human	16763553|17486539|16829625|16538685|17329364
Vitamin A	Retinaldehyde-binding protein 1	P12271	Human	17014079|15928609|17251447|17652763
Vitamin E	Nuclear receptor subfamily 1 group I member 2	O75469	Human	16603143|16880233
Vitamin E	Protein kinase C beta type	P05771	Human	17016423|17139284|11850093|10644549|15184978
Vitamin E	Arachidonate 5-lipoxygenase	P09917	Human	16531984
Vitamin E	Protein kinase C alpha type	P17252	Human	17016423|11736999|9430404|17139284|11850093
Vitamin E	Diacylglycerol kinase alpha	P23743	Human	17016423|17139284
Vitamin E	Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform	P62714	Human	17016423|17139284
Vitamin E	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform	P67775	Human	17016423|17139284
Vitamin E	SEC14-like protein 4	Q9UDX3	Human	17016423|17139284
Vitamin E	SEC14-like protein 3	Q9UDX4	Human	17016423|15040456|17139284
Vitamin E	SEC14-like protein 2	O76054	Human	17252538|16579965
Pyridoxine	Pyridoxal kinase	O00764	Human	16466641|18256491|16978644|16494569
Lipoic Acid	Lipoyltransferase 1, mitochondrial	Q9Y234	Human	8617275|10473591|16246025|17570395|16043486
Lipoic Acid	Lipoyl synthase, mitochondrial	O43766	Human	10403368|9808738|15225307|16246025|11389890
Lipoic Acid	Sodium-dependent multivitamin transporter	Q9Y289	Human	11955628|10334869|12214555
L-Isoleucine	Isoleucine--tRNA ligase, mitochondrial	Q9NSE4	Human	15663927|14672940|12783542|17095543|16697013
L-Isoleucine	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	P45954	Human	16317551|15615815|16950638
L-Isoleucine	Branched-chain-amino-acid aminotransferase, cytosolic	P54687	Human	12147502|17554170|15667998|14962140|12667063
L-Isoleucine	Branched-chain-amino-acid aminotransferase, mitochondrial	O15382	Human	12670965
L-Isoleucine	Isoleucine--tRNA ligase, cytoplasmic	P41252	Human	12788342|14672940|16397872|12783542|15163798
Aspartame	Transient receptor potential cation channel subfamily V member 1	Q8NER1	Human	17567713
Aspartame	Taste receptor type 1 member 2	Q8TE23	Human	17016423|17168764|17139284|15353592
Cholecalciferol	Vitamin D3 receptor	P11473	Human	15503649|11752352|20435140
Menadione	Vitamin K-dependent gamma-carboxylase	P38435	Human	16102054|7657295|12083499
Menadione	Vitamin K epoxide reductase complex subunit 1	Q9BQB6	Human	17016423|16102054|16677080|17139284
Menadione	Vitamin K epoxide reductase complex subunit 1-like protein 1	Q8N0U8	Human	17016423|16102054|16677080|17139284
Menadione	Prothrombin	P00734	Human	6867080|2484931|2922761|10469489|7657295
Menadione	Coagulation factor VII	P08709	Human	17016423|17139284
Menadione	Coagulation factor IX	P00740	Human	17348045
Menadione	Coagulation factor X	P00742	Human	17016423|17139284
Menadione	Vitamin K-dependent protein C	P04070	Human	17016423|17139284|17215245
Menadione	Vitamin K-dependent protein S	P07225	Human	12033454|8161215
Menadione	Vitamin K-dependent protein Z	P22891	Human	17016423|17139284
Menadione	Ribosyldihydronicotinamide dehydrogenase [quinone]	P16083	Human	16765324|15733542|15078100|10433694|12351651
Menadione	NAD(P)H dehydrogenase [quinone] 1	P15559	Human	10190578|10614691|10654840|12069105|10939639
Menadione	Osteocalcin	P02818	Human	3060178
Adenosine triphosphate	Abelson tyrosine-protein kinase 2	P42684	Human	17016423|17139284|11752352
Adenosine triphosphate	Multidrug resistance protein 1	P08183	Human	16890580|16944963|17120199|16842213|17417072
Adenosine triphosphate	ATP-binding cassette sub-family G member 1	P45844	Human	16902423|16876126|17117613|16842213|17158291
Adenosine triphosphate	Canalicular multispecific organic anion transporter 1	Q92887	Human	17112803|17467962|16876126
Adenosine triphosphate	ATP-binding cassette sub-family A member 1	O95477	Human	17135600|17224860|16858612
Adenosine triphosphate	Acetyl-coenzyme A synthetase, cytoplasmic	Q9NR19	Human	17016423|14704009|12493915|17139284
Adenosine triphosphate	ALK tyrosine kinase receptor	Q9UM73	Human	17016423|17139284
Adenosine triphosphate	NEDD8-activating enzyme E1 regulatory subunit	Q13564	Human	17016423|17139284
Adenosine triphosphate	5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	Human	17016423|17139284
Adenosine triphosphate	Serine/threonine-protein kinase A-Raf	P10398	Human	17016423|17139284
Adenosine triphosphate	Serine/threonine-protein kinase receptor R3	P37023	Human	17016423|17139284
Adenosine triphosphate	Long-chain-fatty-acid--CoA ligase 1	P33121	Human	17016423|17139284
Adenosine triphosphate	Cytosolic purine 5'-nucleotidase	P49902	Human	17016423|17139284
Adenosine triphosphate	ATPase ASNA1	O43681	Human	17016423|17139284
Adenosine triphosphate	ATP-binding cassette sub-family C member 9	O60706	Human	16845255|16829188|16897043
Adenosine triphosphate	RAC-alpha serine/threonine-protein kinase	P31749	Human	17041888
Adenosine triphosphate	Beta-adrenergic receptor kinase 1	P25098	Human	17016423|17139284
Adenosine triphosphate	Apoptotic protease-activating factor 1	O14727	Human	17016423|10935465|17139284
Adenosine triphosphate	Acetyl-coenzyme A synthetase 2-like, mitochondrial	Q9NUB1	Human	17016423|17139284
Adenosine triphosphate	Activin receptor type-1B	P36896	Human	17016423|17139284
Adenosine triphosphate	Activin receptor type-1	Q04771	Human	17016423|17139284
Adenosine triphosphate	Bile salt export pump	O95342	Human	16819395|17126857
Adenosine triphosphate	Asparagine synthetase [glutamine-hydrolyzing]	P08243	Human	17016423|17139284
Adenosine triphosphate	Cyclin-dependent kinase 15	Q96Q40	Human	17016423|17139284
Adenosine triphosphate	ADP/ATP translocase 1	P12235	Human	17210842
Adenosine triphosphate	ATP-binding cassette sub-family C member 8	Q09428	Human	16931986|17325510|16897043|17457130
Adenosine triphosphate	Argininosuccinate synthase	P00966	Human	17016423|17139284
Adenosine triphosphate	AFG3-like protein 2	Q9Y4W6	Human	17016423|17139284
Adenosine triphosphate	Beta-adrenergic receptor kinase 2	P35626	Human	17016423|17139284
Adenosine triphosphate	Anti-Muellerian hormone type-2 receptor	Q16671	Human	17016423|17139284
Adenosine triphosphate	Activated CDC42 kinase 1	Q07912	Human	17016423|17139284
Adenosine triphosphate	Tyrosine-protein kinase ABL1	P00519	Human	17016423|17139284|11752352
Adenosine triphosphate	Adenylate cyclase type 1	Q08828	Human	17016423|17139284
L-Proline	Prolyl 4-hydroxylase subunit alpha-2	O15460	Human	17016423|17139284
L-Proline	Proline dehydrogenase 1, mitochondrial	O43272	Human	17344208|16511143|17536821
L-Proline	Peptidyl-prolyl cis-trans isomerase H	O43447	Human	17016423|17139284
L-Proline	Proline synthase co-transcribed bacterial homolog protein	O94903	Human	17016423|17139284
L-Proline	Prolyl 4-hydroxylase subunit alpha-1	P13674	Human	17016423|17139284
L-Proline	Peptidyl-prolyl cis-trans isomerase B	P23284	Human	17016423|17139284|11752352
L-Proline	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	P30405	Human	17016423|17139284
L-Proline	Peptidyl-prolyl cis-trans isomerase C	P45877	Human	17016423|17139284
L-Proline	Peptidyl-prolyl cis-trans isomerase A	P62937	Human	17016423|17139284|11752352
L-Proline	Peptidyl-prolyl cis-trans isomerase G	Q13427	Human	17016423|17139284
L-Proline	Prolyl 3-hydroxylase 1	Q32P28	Human	17016423|17139284
L-Proline	Pyrroline-5-carboxylate reductase	Q4W8W1	Human	17016423|17139284
L-Proline	Probable proline--tRNA ligase, mitochondrial	Q7L3T8	Human	17016423|17139284
L-Proline	Prolyl 3-hydroxylase 2	Q8IVL5	Human	17016423|17139284
L-Proline	Prolyl 3-hydroxylase 3	Q8IVL6	Human	17016423|17139284
L-Proline	Pyrroline-5-carboxylate reductase 3	Q53H96	Human	17016423|10592235|17139284
L-Proline	Trans-L-3-hydroxyproline dehydratase	Q96EM0	Human	17016423|17139284
L-Proline	Pyrroline-5-carboxylate reductase 1, mitochondrial	P32322	Human	16874462|16600630|17536821
L-Proline	Bifunctional glutamate/proline--tRNA ligase	P07814	Human	17016423|17139284
L-Proline	Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+)	Q9UN76	Human	17016423|17139284
L-Proline	Sodium-dependent proline transporter	Q99884	Human	17016423|17139284
L-Proline	Pyrroline-5-carboxylate reductase 2	Q96C36	Human	17016423|17139284|11479381
Adenine	Adenine phosphoribosyltransferase	P07741	Human	17126311|17199504|10592235|16845529|17064924|16597468
Adenine	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	P0AF12	Escherichia coli (strain K12)	16128565|17016423|1125818|17298059|17139284
Adenine	Acetyl-CoA carboxylase 2	O00763	Human	17016423|2880560|8318018|10592235|12829626|17139284
Adenine	Low molecular weight phosphotyrosine protein phosphatase	P24666	Human	17016423|10684601|10592235|15358193|17139284|7629177
Adenine	Peroxisomal trans-2-enoyl-CoA reductase	Q9BY49	Human	
Adenine	A/G-specific adenine glycosylase	P17802	Escherichia coli (strain K12)	
Adenine	Nucleoside deoxyribosyltransferase-I	Q8RLY5	Lactobacillus helveticus	
Adenine	SRSF protein kinase 2	P78362	Human	10592235
Adenine	Holliday junction ATP-dependent DNA helicase RuvB	Q5SL87	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	
Adenine	DNA	null	Human	17016423|17904519|17918893|17139284|17893133
Adenine	S-methyl-5'-thioadenosine phosphorylase	Q13126	Human	17090056|17041099|16631464
Adenine	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	Q05603	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	17016423|11441022|17139284|12686640|9211916
L-Asparagine	Neutral amino acid transporter B(0)	Q15758	Human	17094966|15581847
L-Asparagine	Isoaspartyl peptidase/L-asparaginase	Q7L266	Human	17016423|17139284
L-Asparagine	Probable asparagine--tRNA ligase, mitochondrial	Q96I59	Human	16753178|12874385
L-Asparagine	Sodium-coupled neutral amino acid transporter 3	Q99624	Human	17016423|17139284
L-Asparagine	Asparagine synthetase [glutamine-hydrolyzing]	P08243	Human	14990305|16164412|12706338|17380207|15574844
L-Asparagine	Asparagine--tRNA ligase, cytoplasmic	O43776	Human	16753178|17380207
Pravastatin	3-hydroxy-3-methylglutaryl-coenzyme A reductase	P04035	Human	11752352
Fluvoxamine	Sodium-dependent serotonin transporter	P31645	Human	11304754|12721776|20687077|12695316|15170064|11166521|18568110|11817517|16316311|12208313
Valsartan	Type-1 angiotensin II receptor	P30556	Human	8577935|15579516|12460705|12023686|11752352|8242249
Ramipril	Angiotensin-converting enzyme	P12821	Human	11030016|11929321|11752352|16398929
Masoprocol	Arachidonate 5-lipoxygenase	P09917	Human	15098224|15694390|11318430|11277534|11752352|15379894
Flunisolide	Glucocorticoid receptor	P04150	Human	9523318|8466638|9563368|15285788|11752352|2386110|11368283
Baclofen	Gamma-aminobutyric acid type B receptor subunit 1	Q9UBS5	Human	10094428|10444662|10494996|10545129|11752352|19303900|8388192|10386831|10482760
Baclofen	Gamma-aminobutyric acid type B receptor subunit 2	O75899	Human	10328880|15235087|10658574|10751439|11008066|10545129|19303900|8388192
Amphetamine	Synaptic vesicular amine transporter	Q05940	Human	15955613|21272013|7751968|9648873
Amphetamine	Sodium-dependent dopamine transporter	Q01959	Human	15728379|15602501|15795321|15764732|15950014|15661631
Amphetamine	Cocaine- and amphetamine-regulated transcript protein	Q16568	Human	15597110|15661821|15680473|15644956|16713658|15680478
Amphetamine	Trace amine-associated receptor 1	Q96RJ0	Human	17218486|17234899|17234900|17212650|15764732
Amphetamine	Sodium-dependent noradrenaline transporter	P23975	Human	7700252|12954796
Amphetamine	Alpha adrenergic receptor	P18825	Human	4399738|6245760
Amphetamine	Beta adrenergic receptor	P13945	Human	4399738|6245760
Amphetamine	D(2) dopamine receptor	P14416	Human	1532675
Amphetamine	Amine oxidase [flavin-containing] B	P27338	Human	7059347
Amphetamine	Sodium-dependent serotonin transporter	P31645	Human	17209801
Pentagastrin	Gastrin/cholecystokinin type B receptor	P32239	Human	7491961|3004700|11752352|1732532|12073167|15157745
Nicotine	Neuronal acetylcholine receptor subunit alpha-4	P43681	Human	19560048|17146052|17590520|17613539|11006350|17226798|16636791|20400469|20081230
Nicotine	Neuronal acetylcholine receptor subunit alpha-7	P36544	Human	17360707|19560048|11006350|16754836|20400469|20081230
Nicotine	Neuronal acetylcholine receptor subunit beta-2	P17787	Human	19560048|11006350|17226798|16636791|20400469|20081230
Nicotine	Neuronal acetylcholine receptor subunit alpha-2	Q15822	Human	19560048|15048644|11006350|20400469|20081230
Nicotine	Neuronal acetylcholine receptor subunit alpha-3	P32297	Human	19560048|11006350|20400469|20081230
Nicotine	Neuronal acetylcholine receptor subunit alpha-5	P30532	Human	19560048|11006350|20400469|20081230
Nicotine	Neuronal acetylcholine receptor subunit alpha-6	Q15825	Human	19560048|11006350|20400469|20081230
Nicotine	Neuronal acetylcholine receptor subunit alpha-9	Q9UGM1	Human	19560048|11006350|20400469|20081230
Nicotine	Neuronal acetylcholine receptor subunit alpha-10	Q9GZZ6	Human	19560048|11006350|20400469|20081230
Nicotine	Neuronal acetylcholine receptor subunit beta-3	Q05901	Human	19560048|11006350|20400469|20081230
Nicotine	Neuronal acetylcholine receptor subunit beta-4	P30926	Human	19560048|11006350|20400469|20081230
Nicotine	Cytochrome P450 19A1	P11511	Human	3711333
Nicotine	Choline O-acetyltransferase	P28329	Human	13192619
Cevimeline	Muscarinic acetylcholine receptor M3	P20309	Human	17016423|18450949|17139284|11752352
Cevimeline	Muscarinic acetylcholine receptor M1	P11229	Human	8624083|17016423|17139284
Lorazepam	GABA-A receptor (anion channel)	Q9UN88	Human	18384456
Lorazepam	Translocator protein	P30536	Human	8787774|1647706|17156911|16959136
Esmolol	Beta-1 adrenergic receptor	P08588	Human	7612051|1975995|11752352|2568748|2894187|7957532
