Drug	Synonym	
Epirubicin Hydrochloride	(8S-cis)-10-((3-Amino-2,3,6-trideoxy-beta-L-arabino-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-5,12-naphthacenedione Hydrochloride	
Epirubicin Hydrochloride	epirubicin hydrochloride	
Epirubicin Hydrochloride	Pharmorubicin PFS	
Epirubicin Hydrochloride	epirubicin	
Epirubicin Hydrochloride	Ellence	
Epirubicin Hydrochloride	Epi DX	
Epirubicin Hydrochloride	4'-epi DX	
Epirubicin Hydrochloride	Epirubicin Hydrochloride	
Epirubicin Hydrochloride	4'-Epidoxorubicin	
Epirubicin Hydrochloride	EPIRUBICIN	
Epirubicin Hydrochloride	4'-Epiadriamycin	
Epirubicin Hydrochloride	3-Glycoloyl-1,2,3,4,6,11-hexahydro-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1-naphthacenyl-3-amino-2,3,6-trideoxy-alpha-L-arabino-hexopyranoside Hydrochloride	
Epirubicin Hydrochloride	Epirubicin	
Epirubicin Hydrochloride	(8S-cis)-10-((3-Amino-2,3,6-trideoxy-beta-L-arabino-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-5,12-naphthacenedione	
Epirubicin Hydrochloride	Epirubicin_Base	
Epirubicin Hydrochloride	IMI-28	
Epirubicin Hydrochloride	EPIRUBICIN HYDROCHLORIDE	
Pembrolizumab	Immunoglobulin G4, Anti-(Human Programmed Cell Death 1); Humanized Mouse Monoclonal (228-L-proline(H10-S>P))gamma 4 Heavy Chain (134-218')-disulfide with Humanized Mouse Monoclonal Kappa Light Chain Dimer (226-226'':229-229'')-bisdisulfide	
Pembrolizumab	Pembrolizumab	
Pembrolizumab	MK-3475	
Pembrolizumab	PEMBROLIZUMAB	
Pembrolizumab	Keytruda	
Pembrolizumab	Lambrolizumab	
Pembrolizumab	SCH 900475	
Pralatrexate	10-Propargyl-10-Deazaaminopterin	
Pralatrexate	_10-Propargyl-10-Deazaaminopterin	
Pralatrexate	PDX	
Pralatrexate	10-propargyl-10-deazaaminopterin	
Pralatrexate	Folotyn	
Pralatrexate	N-(4-{1-[(2,4-Diaminopteridin-6-yl)methyl]but-3-yn-1-yl}benzoyl)-L-glutamic Acid	
Pralatrexate	FOLOTYN	
Pralatrexate	pralatrexate	
Pralatrexate	PRALATREXATE	
Pralatrexate	Pralatrexate	
Pralatrexate	(2S)-2-[[4-[(1RS)-1-[(2, 4-Diaminopteridin-6-yl)methyl]but-3-ynyl]benzoyl]amino]pentanedioic Acid	
Hydroxyurea	Onco-Carbide	
Hydroxyurea	SQ-1089	
Hydroxyurea	Syrea	
Hydroxyurea	Hydroxycarbamide	
Hydroxyurea	HYDROXYUREA	
Hydroxyurea	Hydroxyurea	
Hydroxyurea	Droxia	
Hydroxyurea	Oxeron	
Hydroxyurea	Hydrea	
Hydroxyurea	Oncocarbide	
Hydroxyurea	hydroxyurea	
Hydroxyurea	SQ 1089	
Hydroxyurea	Onco-carbide	
Hydroxyurea	WR 83799	
Hydroxyurea	Litalir	
Elotuzumab	PDL063	
Elotuzumab	HuLuc-63	
Elotuzumab	ELOTUZUMAB	
Elotuzumab	BMS-901608	
Elotuzumab	HuLuc63	
Elotuzumab	PDL-063	
Elotuzumab	Anti-CS1_Monoclonal_Antibody_HuLuc63	
Elotuzumab	Empliciti	
Elotuzumab	Elotuzumab	
Crizotinib	Crizotinib	
Crizotinib	MET Tyrosine Kinase Inhibitor PF-02341066	
Crizotinib	Xalkori	
Crizotinib	2-Pyridinamine, 3-((1R)-1-(2,6-Dichloro-3-Fluorophenyl)Ethoxy)-5-(1-(4-Piperidinyl)-1H-Pyrazol-4-yl)-	
Crizotinib	PF-02341066	
Crizotinib	MET_Tyrosine_Kinase_Inhibitor_PF-02341066	
Crizotinib	CRIZOTINIB	
Crizotinib	PF-2341066	
Crizotinib	MET tyrosine kinase inhibitor PF-02341066	
Crizotinib	(R)-3-(1-(2,6-Dichloro-3-Fluorophenyl)Ethoxy)-5-(1-(Piperidin-4-Yl)-1h-Pyrazol-4-Yl)Pyridin-2-Amine	
Letrozole	letrozole	
Letrozole	CGS 20267	
Letrozole	Femara	
Letrozole	LETROZOLE	
Letrozole	4,4'-(1H-1,2,4triazol-1-ylmethylene)dibenzonitrile	
Letrozole	Letrozole	
Cobimetinib	Cotellic	
Cobimetinib	Cobimetinib	
Cobimetinib	XL518	
Cobimetinib	COBIMETINIB	
Cobimetinib	GDC-0973	
Cobimetinib	MEK_Inhibitor_XL518	
Cobimetinib	MEK Inhibitor GDC-0973	
Temsirolimus	CCI-779 Rapamycin Analog	
Temsirolimus	temsirolimus	
Temsirolimus	42-(3-Hydroxy-2-(hydroxymethyl)-2-methylpropanoate)rapamycin	
Temsirolimus	CCI-779	
Temsirolimus	TEMSIROLIMUS	
Temsirolimus	Torisel	
Temsirolimus	Rapamycin Analog CCI-779	
Temsirolimus	Temsirolimus	
Temsirolimus	Rapamycin Analog	
Temsirolimus	Cell Cycle Inhibitor 779	
Lomustine	1-Nitrosourea, 1-(2-chloroethyl)-3-cyclohexyl-	
Lomustine	LOMUSTINE	
Lomustine	Belustin	
Lomustine	Citostal	
Lomustine	Lomustinum	
Lomustine	lomustine	
Lomustine	Lucostin	
Lomustine	Lomeblastin	
Lomustine	WR-139017	
Lomustine	Lucostine	
Lomustine	CeeNU	
Lomustine	Chloroethylcyclo- hexylnitrosourea	
Lomustine	1-(2-chloroethyl)-3-cyclohexyl-1-nitrosourea	
Lomustine	Prava	
Lomustine	1-(2-Chloroethyl)-3-cyclohexyl-1-nitrosourea	
Lomustine	Lomustine	
Lomustine	CCNU	
Lomustine	Chloroethylcyclohexylnitrosourea	
Lomustine	Cecenu	
Lomustine	N-(2-chloroethyl)-N'-cyclohexyl-N-nitrosourea	
Lomustine	RB-1509	
Lomustine	Belustine	
Lomustine	N-(2-Chloroethyl)-N'-cyclohexyl-N-nitrosourea	
Pegaspargase	PEGLA	
Pegaspargase	PEG-L-Asparaginase (Enzon - Kyowa Hakko)	
Pegaspargase	pegaspargase	
Pegaspargase	PEGASPARGASE	
Pegaspargase	(Monomethoxypolyethylene Glycol Succinimidyl)74-L-Asparaginase	
Pegaspargase	L-Asparaginase with Polyethylene Glycol	
Pegaspargase	Oncaspar	
Pegaspargase	Polyethylene Glycol L-Asparaginase	
Pegaspargase	PEG-asparaginase	
Pegaspargase	PEG-L-Asparaginase	
Pegaspargase	Polyethylene Glycol-L-Asparaginase	
Pegaspargase	Pegaspargase	
Pegaspargase	PEG-Asparaginase	
Romidepsin	depsipeptide	
Romidepsin	ROMIDEPSIN	
Romidepsin	L-Valine, N- (3-hydroxy-7-mercapto-1-oxo-4-heptenyl)valyl- cysteinyl-2, 3-didehydro-2-aminobutanoyl-,xi-lactone, cyclic (1-2)-disulfide	
Romidepsin	Romidepsin	
Romidepsin	Istodax	
Romidepsin	FK228	
Romidepsin	N-[(3S,4E)-3-Hydroxy-7-mercapto-1-oxo-4-heptenyl]-D-valyl-D-cysteinyl-(2Z)-2-amino-2-butenoyl-L-valine, (4->1) Lactone, Cyclic	
Romidepsin	Depsipeptide	
Romidepsin	romidepsin	
Romidepsin	Antibiotic FR 901228	
Romidepsin	FR901228	
Romidepsin	L-Valine, N-(3-Hydroxy-7-Mercapto-1-Oxo-4-Heptenyl)-D-Valyl-D-Cysteinyl-(Z)-2,3 -Didehydro-2-Aminobutanoyl-, xi-Lactone, Cyclic (1-2)-Disulfide, (S-(E))-	
Romidepsin	N-[(3S,4E)-3-Hydroxy-7-mercapto-1-oxo-4-heptenyl]-D-valyl-D-cysteinyl-(2Z)-2-amino-2-butenoyl-L-valine, (4-1) Lactone, Cyclic	
Vinblastine Sulfate	Vinblastine	
Vinblastine Sulfate	29060 LE	
Vinblastine Sulfate	VINBLASTINE SULFATE	
Vinblastine Sulfate	Velsar	
Vinblastine Sulfate	vinblastine sulfate	
Vinblastine Sulfate	VINBLASTINE	
Vinblastine Sulfate	VINCALEUKOBLASTINE	
Vinblastine Sulfate	Velbe	
Vinblastine Sulfate	VLB	
Vinblastine Sulfate	Vincaleucoblastine	
Vinblastine Sulfate	Vinblastine_Sulfate	
Vinblastine Sulfate	Velban	
Vinblastine Sulfate	Vinblastine Sulfate	
Vinblastine Sulfate	vinblastine	
Vinblastine Sulfate	29060-LE	
Vinblastine Sulfate	Exal	
Melphalan Hydrochloride	4-[bis(2-chloroethyl)amino]-L-phenylalanine	
Melphalan Hydrochloride	L-sarcolysin	
Melphalan Hydrochloride	melphalan	
Melphalan Hydrochloride	MELPHALAN HYDROCHLORIDE	
Melphalan Hydrochloride	Alkeran	
Melphalan Hydrochloride	p-di(chloroethyl)amino-L-phenylalanine	
Melphalan Hydrochloride	L-Sarcolysin	
Melphalan Hydrochloride	Melphalanum	
Melphalan Hydrochloride	Sarcoclorin	
Melphalan Hydrochloride	Sarkolysin	
Melphalan Hydrochloride	Phenylalanine Nitrogen Mustard	
Melphalan Hydrochloride	L-Phenylalanine mustard	
Melphalan Hydrochloride	Melphalan	
Melphalan Hydrochloride	3-(p-(bis(2-chloroethyl)amino)phenyl)-L-Alanine, Hydrochloride	
Melphalan Hydrochloride	Phenylalanine nitrogen mustard	
Melphalan Hydrochloride	WR-19813	
Melphalan Hydrochloride	Alanine Nitrogen Mustard	
Melphalan Hydrochloride	Melphalan Hydrochloride	
Melphalan Hydrochloride	L-Sarcolysine	
Melphalan Hydrochloride	L-Sarcolysin Phenylalanine mustard	
Melphalan Hydrochloride	Alkerana	
Melphalan Hydrochloride	Evomela	
Melphalan Hydrochloride	Melphalan_Hydrochloride	
Melphalan Hydrochloride	Phenylalanine Mustard	
Melphalan Hydrochloride	L-Phenylalanine Mustard	
Melphalan Hydrochloride	CB-3025	
Melphalan Hydrochloride	MELPHALAN	
Melphalan Hydrochloride	L-PAM	
Ixazomib Citrate	IXAZOMIB	
Ixazomib Citrate	MLN9708	
Ixazomib Citrate	MLN2238	
Ixazomib Citrate	MLN-9708	
Ixazomib Citrate	Ninlaro	
Ixazomib Citrate	{(1R)-1-[(2,5-dichlorobenzamido)acetamido]-3-methylbutyl}boronic Acid	
Ixazomib Citrate	1,3,2-dioxaborinane-4-acetic acid, 4-carboxy-2-((1r)-1-((2-((2,5-dichlorobenzoyl)amino)acetyl)amino)-3-methylbutyl)-6-oxo-	
Ixazomib Citrate	Proteasome_Inhibitor_MLN9708	
Ixazomib Citrate	MLN-2238	
Ixazomib Citrate	Ixazomib Citrate	
Ixazomib Citrate	Ixazomib	
Mechlorethamine Hydrochloride	Mechlorethamine	
Mechlorethamine Hydrochloride	Mustargen Hydrochloride	
Mechlorethamine Hydrochloride	Mustargen hydrochloride	
Mechlorethamine Hydrochloride	Chloromethine Hydrochloride	
Mechlorethamine Hydrochloride	Chloromethine HCl	
Mechlorethamine Hydrochloride	Chlorethazine	
Mechlorethamine Hydrochloride	chlorethazine	
Mechlorethamine Hydrochloride	Mustargen HCl	
Mechlorethamine Hydrochloride	mustine	
Mechlorethamine Hydrochloride	Nitrogen Mustard	
Mechlorethamine Hydrochloride	Methylbis(beta-chloroethyl)amine	
Mechlorethamine Hydrochloride	Cloramin	
Mechlorethamine Hydrochloride	Nitrogen_Mustard	
Mechlorethamine Hydrochloride	Methylchlorethamine Hydrochloride	
Mechlorethamine Hydrochloride	mechlorethamine hydrochloride	
Mechlorethamine Hydrochloride	ethanamine,2-chloro-N-(2-chloroethyl)-N-methyl	
Mechlorethamine Hydrochloride	N-Lost	
Mechlorethamine Hydrochloride	Onco-Cloramin	
Mechlorethamine Hydrochloride	MECHLORETHAMINE	
Mechlorethamine Hydrochloride	Methylbis(beta-chloroethyl)amine Hydrochloride	
Mechlorethamine Hydrochloride	Mustargen	
Mechlorethamine Hydrochloride	mechlorethamine HCl	
Mechlorethamine Hydrochloride	WR-147650	
Mechlorethamine Hydrochloride	Chlormethine	
Mechlorethamine Hydrochloride	ethanamine,2-chloro-N-(2-chloroethyl)-N-methyl Hydrochloride	
Mechlorethamine Hydrochloride	Mustine hydrochloride	
Mechlorethamine Hydrochloride	Mustine	
Mechlorethamine Hydrochloride	Chlorethazine Hydrochloride	
Mechlorethamine Hydrochloride	Mustine Hydrochloride	
Mechlorethamine Hydrochloride	methylchlorethamine	
Mechlorethamine Hydrochloride	Erasol	
Mechlorethamine Hydrochloride	Bis(2-chloroethyl)methylamine	
Mechlorethamine Hydrochloride	Caryolysine	
Mechlorethamine Hydrochloride	HN 2 Hydrochloride	
Mechlorethamine Hydrochloride	MECHLORETHAMINE HYDROCHLORIDE	
Mechlorethamine Hydrochloride	Bis(2-chloroethyl)methylamine Hydrochloride	
Mechlorethamine Hydrochloride	Chlormethine hydrochloride	
Mechlorethamine Hydrochloride	chloromethine	
Mechlorethamine Hydrochloride	Mechlorethamine Hydrochloride	
Mechlorethamine Hydrochloride	Mechlorethamine hydrochloride	
Mechlorethamine Hydrochloride	Chlormethine Hydrochloride	
Mechlorethamine Hydrochloride	HN 2	
Mechlorethamine Hydrochloride	Mustard	
Mechlorethamine Hydrochloride	chlorethamine hydrochloride	
Mechlorethamine Hydrochloride	Chlorethamine HCl	
Bortezomib	PS341	
Bortezomib	LDP 341	
Bortezomib	Bortezomib	
Bortezomib	[(1R)-3-Methyl-1-[[(2S)-1-oxo-3-phenyl-2-[(pyrazinylcarbonyl)amino]propyl]amino]butyl]boronic Acid	
Bortezomib	velcade	
Bortezomib	MLN341	
Bortezomib	BORTEZOMIB	
Bortezomib	PS-341	
Bortezomib	bortezomib	
Bortezomib	Velcade	
Brentuximab Vedotin	cAC10-vcMMAE	
Brentuximab Vedotin	Anti-CD30 Antibody-Drug Conjugate SGN-35	
Brentuximab Vedotin	Anti-CD30 Monoclonal Antibody-MMAE SGN-35	
Brentuximab Vedotin	BRENTUXIMAB VEDOTIN	
Brentuximab Vedotin	Brentuximab Vedotin	
Brentuximab Vedotin	SGN-35	
Brentuximab Vedotin	Adcetris	
Brentuximab Vedotin	ADC SGN-35	
Brentuximab Vedotin	Anti-CD30 Monoclonal Antibody-Monomethylauristatin E SGN-35	
Dasatinib	Dasatinib	
Dasatinib	dasatinib	
Dasatinib	Sprycel	
Dasatinib	BMS-354825	
Dasatinib	DASATINIB	
Vismodegib	GDC-0449	
Vismodegib	2-chloro-N-[4-chloro-3-(pyridin-2-yl)phenyl]-4-(methylsulfonyl)benzamide	
Vismodegib	VISMODEGIB	
Vismodegib	Erivedge	
Vismodegib	Hedgehog Antagonist GDC-0449	
Vismodegib	Vismodegib	
Vismodegib	Hedgehog_Antagonist_GDC-0449	
Vincristine Sulfate	Vincasar	
Vincristine Sulfate	vincristine	
Vincristine Sulfate	VCR	
Vincristine Sulfate	Leurocristine, sulfate	
Vincristine Sulfate	Vincosid	
Vincristine Sulfate	Leurocristine	
Vincristine Sulfate	Vincrystine	
Vincristine Sulfate	Leurocristine Sulfate	
Vincristine Sulfate	Vincristine	
Vincristine Sulfate	LEUROCRISTINE	
Vincristine Sulfate	Vincristine_Sulfate	
Vincristine Sulfate	Vincristine, sulfate	
Vincristine Sulfate	Leurocristine sulfate	
Vincristine Sulfate	Kyocristine	
Vincristine Sulfate	vincristine sulfate	
Vincristine Sulfate	VINCRISTINE SULFATE	
Vincristine Sulfate	VINCRISTINE	
Vincristine Sulfate	Oncovin	
Vincristine Sulfate	22-Oxovincaleukoblastine	
Vincristine Sulfate	Vincristine Sulfate	
Vincristine Sulfate	Vincrex	
Alemtuzumab	ALEMTUZUMAB	
Alemtuzumab	Anti-CD52 Monoclonal Antibody	
Alemtuzumab	MabCampath	
Alemtuzumab	alemtuzumab	
Alemtuzumab	Campath-1H	
Alemtuzumab	Alemtuzumab	
Alemtuzumab	LDP-03	
Alemtuzumab	Monoclonal Antibody Campath-1H	
Alemtuzumab	Campath	
Ramucirumab	RAMUCIRUMAB	
Ramucirumab	anti-VEGFR-2 fully human monoclonal antibody IMC-1121B	
Ramucirumab	Anti-VEGFR-2_Fully_Human_Monoclonal_Antibody_IMC-1121B	
Ramucirumab	LY3009806	
Ramucirumab	ramucirumab	
Ramucirumab	IMC-1121B	
Ramucirumab	Monoclonal Antibody HGS-ETR2	
Ramucirumab	Ramucirumab	
Ramucirumab	Anti-VEGFR-2 Fully Human Monoclonal Antibody IMC-1121B	
Ramucirumab	Cyramza	
Cisplatin	Cisplatyl	
Cisplatin	Cis-platinum	
Cisplatin	Cisplatina	
Cisplatin	Platosin	
Cisplatin	Plastistil	
Cisplatin	Platiblastin	
Cisplatin	Platinol	
Cisplatin	Cis-diammine-dichloroplatinum	
Cisplatin	Cis-diamminedichloro Platinum (II)	
Cisplatin	Citoplatino	
Cisplatin	Placis	
Cisplatin	Cismaplat	
Cisplatin	Platiblastin-S	
Cisplatin	Platinum, Diaminedichloro-, cis- (8CI)	
Cisplatin	Platistin	
Cisplatin	Neoplatin	
Cisplatin	Platinol-AQ VHA Plus	
Cisplatin	DDP	
Cisplatin	Peyrone's Salt	
Cisplatin	Platinum Diamminodichloride	
Cisplatin	CISPLATIN	
Cisplatin	Platinum	
Cisplatin	Lederplatin	
Cisplatin	Briplatin	
Cisplatin	Platinol- AQ	
Cisplatin	Abiplatin	
Cisplatin	cisplatin	
Cisplatin	Platamine	
Cisplatin	(SP-4-2)-Diamminedichloroplatinum	
Cisplatin	Metaplatin	
Cisplatin	Blastolem	
Cisplatin	Cysplatyna	
Cisplatin	Platinoxan	
Cisplatin	Cis-platinum II Diamine Dichloride	
Cisplatin	Cisplatin	
Cisplatin	Cisplatinum	
Cisplatin	Cis-diamminedichloridoplatinum	
Cisplatin	CDDP	
Cisplatin	Citosin	
Cisplatin	Cis-platinum II	
Cisplatin	Cis-platinous Diamine Dichloride	
Cisplatin	Platinol-AQ	
Cisplatin	Peyrone's Chloride	
Cisplatin	Cis-dichloroammine Platinum (II)	
Cisplatin	Platiran	
Cisplatin	Cis-diamminedichloroplatinum	
Cisplatin	Platinex	
Docetaxel	[2aR-[2a alphaa,4beta,4a beta,6beta,9alpha,(alphaR*,betaS*),-11alpha,12alpha,12a alpha,12b alpha]]-beta-[[(1,1-dimethylethoxy)carbonyl]-amino]-alpha-hydroxybenzemepropanoic Acid 12b-(Acetyloxy)-12(benzyloxy)-2a,3,4,4a,5,6,8,10,11,12,12a,12b-dodecahydeo-4,-6,11-trihydroxy-4a,8,13,13-tetramethyl-5-oxo-7,11-methano-1H-cyclodeca[3,4]benz[1,2-b]oxet-9-yl Ester	
Docetaxel	Taxotere Injection Concentrate	
Docetaxel	docetaxel	
Docetaxel	Docetaxel	
Docetaxel	N-Debenzoyl-N-(tert-butoxycarbonyl)-10-deacetyltaxol	
Docetaxel	DOCETAXEL	
Docetaxel	Docecad	
Docetaxel	RP56976	
Docetaxel	Taxotere	
Enzalutamide	ASP9785	
Enzalutamide	MDV3100	
Enzalutamide	Xtandi	
Enzalutamide	Selective_Androgen_Receptor_Modulator_MDV3100	
Enzalutamide	Benzamide, 4-(3-(4-cyano-3-(trifluoromethyl)phenyl)-5,5-dimethyl-4-oxo-2-thioxo-1-imidazolidinyl)-2-fluoro-N-methyl-	
Enzalutamide	Enzalutamide	
Enzalutamide	ENZALUTAMIDE	
Topotecan Hydrochloride	TOPOTECAN HYDROCHLORIDE	
Topotecan Hydrochloride	Topotecan hydrochloride	
Topotecan Hydrochloride	Topotecan Hydrochloride	
Topotecan Hydrochloride	Topotecan HCl	
Topotecan Hydrochloride	Hycamptamine	
Topotecan Hydrochloride	Topotecan	
Topotecan Hydrochloride	(S)-10-[(dimethylamino)methyl]-4-ethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7] indolizino[1,2-b] quinoline-3,14-(4H,12H)-dione Monohydrochloride	
Topotecan Hydrochloride	Topotecan Lactone	
Topotecan Hydrochloride	topotecan hydrochloride	
Topotecan Hydrochloride	9-[(dimethylamino)methyl]-10-hydroxy-(20S)-camptothecin	
Topotecan Hydrochloride	topotecan hydrochloride (oral)	
Topotecan Hydrochloride	TOPOTECAN	
Topotecan Hydrochloride	SKF S-104864-A	
Topotecan Hydrochloride	Hycamtin	
Topotecan Hydrochloride	(s)-10-[(dimethylamino)methyl]-4-ethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]-quinoline-3,14(4H,12H)-dione	
Topotecan Hydrochloride	Topotecan_Hydrochloride	
Topotecan Hydrochloride	topotecan	
Ixabepilone	ixabepilone	
Ixabepilone	Epothilone-B BMS 247550	
Ixabepilone	BMS 247550	
Ixabepilone	IXABEPILONE	
Ixabepilone	Ixempra	
Ixabepilone	BMS-247550	
Ixabepilone	Epothilone	
Ixabepilone	Azaepothilone B	
Ixabepilone	Ixabepilone	
Ixabepilone	BMS247550	
Ixabepilone	(1S,3S,7S,10R,11S,12S,16R)-7,11-Dihydroxy-8,8,10,12,16-pentamethyl-3-[(1E)-1-methyl-2-(2-methyl-4-thiazolyl)ethenyl]-17-oxa-4-azabicyclo[14.1.0]heptadecane-5,9-dione	
Oxaliplatin	Dacplat	
Oxaliplatin	Diaminocyclohexane Oxalatoplatinum	
Oxaliplatin	oxalato (trans-l-1,2-diaminocyclohexane)platinum(II)	
Oxaliplatin	RP-54780	
Oxaliplatin	trans-l diaminocyclohexane oxalatoplatinum	
Oxaliplatin	Oxalatoplatinum	
Oxaliplatin	SR-96669	
Oxaliplatin	[SP-4-2-(1R-trans)]-(1,2,cyclohexanediamine-N,N')[ethanedioato(2--)-O,O']platinum	
Oxaliplatin	Eloxatine	
Oxaliplatin	OXALIPLATIN	
Oxaliplatin	Eloxatin	
Oxaliplatin	Oxaliplatin	
Oxaliplatin	oxaliplatin	
Oxaliplatin	[(1R,-2R)-1,2-cyclohexanediamine-N,N'][oxalato (2--)-O,O']platinum	
Oxaliplatin	Oxalatoplatin	
Oxaliplatin	Aiheng	
Oxaliplatin	Dacotin	
Oxaliplatin	Ai Heng	
Oxaliplatin	1-OHP	
Oxaliplatin	JM-83	
Oxaliplatin	trans-l DACH oxalatoplatinum	
Oxaliplatin	ELOXATIN	
Oxaliplatin	DACPLAT	
Oxaliplatin	RP 54780	
Oxaliplatin	oxalato (1R,2R-cyclohexanediamine)platinum(II)	
Palbociclib	PD-332991	
Palbociclib	6-Acetyl-8-cyclopentyl-5-methyl-2-((5-(piperazin-1-yl)pyridin-2-yl)amino)-8h-pyrido(2,3-d)pyrimidin-7-one	
Palbociclib	PALBOCICLIB	
Palbociclib	Palbociclib	
Palbociclib	PD-0332991	
Palbociclib	Ibrance	
Carfilzomib	CARFILZOMIB	
Carfilzomib	Kyprolis	
Carfilzomib	Carfilzomib	
Carfilzomib	PR-171	
Carfilzomib	(2S)-N-((1S)-1-Benzyl-2-(((1S)-3-methyl-1-(((2R)-2-methyloxiran-2-yl)carbonyl)butyl)amino)-2-oxoethyl)-4-methyl-2-(((2S)-2-((morpholin-4-ylacetyl)amino)-4-phenylbutanoyl)amino)pentanamide	
Toremifene	TOREMIFENE	
Toremifene	Farestone	
Toremifene	toremifene	
Toremifene	Toremifene	
Toremifene	(Z)-4-Chloro-1,2-diphenyl-1[4-[2-(N,N-dimethylamino)ethoxy]phenyl]-1-butene	
Toremifene	(Z)-2-[4-(4-Chloro-1,2-diphenyl-1-butenyl)phenoxy]-N,N-dimethylethanamine	
Dabrafenib	DABRAFENIB	
Dabrafenib	GSK-2118436A	
Dabrafenib	BRAF_Inhibitor_GSK2118436	
Dabrafenib	BRAF Inhibitor GSK2118436	
Dabrafenib	Tafinlar	
Dabrafenib	Dabrafenib	
Dabrafenib	GSK2118436	
Dabrafenib	Benzenesulfonamide, N-(3-(5-(2-amino-4-pyrimidinyl)-2-(1,1-dimethylethyl)-4-thiazolyl)-2-fluorophenyl)-2,6-difluoro-	
Nivolumab	NIVO	
Nivolumab	Nivolumab	
Nivolumab	ONO-4538	
Nivolumab	Opdivo	
Nivolumab	Anti-PD-1_Human_Monoclonal_Antibody_MDX-1106	
Nivolumab	BMS-936558	
Nivolumab	NIVOLUMAB	
Nivolumab	MDX-1106	
Azacitidine	Vidaza	
Azacitidine	Azacytidine	
Azacitidine	5-AC	
Azacitidine	5 AZC	
Azacitidine	AZACITIDINE	
Azacitidine	Ladakamycin	
Azacitidine	5-Aza-cytidine	
Azacitidine	5-AZC	
Azacitidine	4-Amino-1-beta-D-ribofuranosyl-1,3,5-triazin-2(1H)-one	
Azacitidine	Azacitidine	
Azacitidine	Azacytidine, 5-	
Azacitidine	Mylosar	
Azacitidine	U-18496	
Azacitidine	azacitidine	
Azacitidine	5-Azacytidine	
Pomalidomide	4-Amino-2-(2,6-dioxo-3-piperidyl)isoindoline-1,3-dione	
Pomalidomide	CC-4047	
Pomalidomide	Imnovid	
Pomalidomide	Pomalidomide	
Pomalidomide	4-Aminothalidomide	
Pomalidomide	Actimid	
Pomalidomide	Pomalyst	
Pomalidomide	POMALIDOMIDE	
Pomalidomide	pomalidomide	
Pomalidomide	3-Amino-N-(2,6-dioxo-3-piperidyl)phthalimide	
Sonidegib	LDE-225	
Sonidegib	(1,1'-Biphenyl)-3-carboxamide, N-(6-((2R,6S)-2,6-dimethyl-4-morpholinyl)-3-pyridinyl)-2- methyl-4'-(trifluoromethoxy)-, rel-	
Sonidegib	Smoothened Antagonist LDE225	
Sonidegib	Sonidegib	
Sonidegib	Erismodegib	
Sonidegib	Oral_Smoothened_Antagonist_LDE225	
Sonidegib	LDE225	
Sonidegib	ERISMODEGIB	
Sonidegib	Odomzo	
Daratumumab	DARATUMUMAB	
Daratumumab	Anti-CD38_Monoclonal_Antibody	
Daratumumab	Daratumumab	
Daratumumab	HuMax-CD38	
Daratumumab	Darzalex	
Daratumumab	Anti-CD38 Monoclonal Antibody	
Daratumumab	JNJ-54767414	
Degarelix	FE200486	
Degarelix	degarelix	
Degarelix	DEGARELIX	
Degarelix	Firmagon	
Degarelix	Degarelix	
Degarelix	N-acetyl-3-(naphtalen-2-yl)-D-alanyl-4-chloro-D-phenylalanyl-3-(pyridin-3-yl)-D-alanyl-L-seryl-4-((((4S)-2,6-dioxohexahydropyrimidin-4-yl)carbonyl)amino)-L-phenylalanyl-4-(carbamoylamino)-D-phenylalanyl-L-leucyl-N6-(1-methylethyl)-L-lysyl-L-prolyl-D-alaninamide	
Vinorelbine Tartrate	Dihydroxydeoxynorvinkaleukoblastine	
Vinorelbine Tartrate	Biovelbin	
Vinorelbine Tartrate	VINORELBINE	
Vinorelbine Tartrate	VINORELBINE TARTRATE	
Vinorelbine Tartrate	Navelbine	
Vinorelbine Tartrate	Navelbine ditartrate	
Vinorelbine Tartrate	vinorelbine	
Vinorelbine Tartrate	Vinorelbine Ditartrate	
Vinorelbine Tartrate	Vinorelbine Tartrate	
Vinorelbine Tartrate	vinorelbine tartrate	
Vinorelbine Tartrate	KW-2307	
Vinorelbine Tartrate	5'-Nor-Anhydrovinblastine	
Vinorelbine Tartrate	3',4'-Didehydro-4'-deoxy-C'-norvincaleukoblastine	
Vinorelbine Tartrate	Vinorelbine_Ditartrate	
Vinorelbine Tartrate	NVB	
Vinorelbine Tartrate	nor-5'-Anhydrovinblastine	
Vinorelbine Tartrate	Vinorelbine	
Vinorelbine Tartrate	Eunades	
Vinorelbine Tartrate	Navelbine Ditartrate	
Eribulin Mesylate	Halichondrin B Analog	
Eribulin Mesylate	Eribulin	
Eribulin Mesylate	B1939 Mesylate	
Eribulin Mesylate	E7389	
Eribulin Mesylate	Halaven	
Eribulin Mesylate	eribulin mesylate	
Eribulin Mesylate	ERIBULIN	
Eribulin Mesylate	ER-086526	
Eribulin Mesylate	Eribulin Mesylate	
