Drug	IUPHAR	DrugBank	Sorger_KinaseResourcee	BindingDB	TTD	Synonym_Deck_Size + 	Synonyms 
Tretinoin	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	42	TRETINOIN|Airol|Tretinoinum|Cordes Vas|Eudyna|Ro 5488|Trans Vitamin A Acid|Retin-A-Micro|tretinoin|Epi-Aberel|trans-Retinoic Acid|Renova|all-trans-Retinoic acid|all trans-Retinoic acid|Dermairol|Tretinoin|trans-Retinoic acid|Vitamin A acid, all-trans-|all-trans retinoic acid|Retinoic Acid|All-trans Retinoic Acid|Retin-A MICRO|(All-E)-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic Acid|Aberel|Avita|Vitamin A acid|Stieva-A Forte|Trans Retinoic Acid|Vitinoin|All-trans Vitamin A Acid|vitamin A acid|retinoic acid|beta-Retinoic Acid|Retin-A|Retisol-A|Vitamin A Acid|all-trans-Vitamin A acid|2,4,6,8-Nonatetraenoic acid, 3, 7-dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-, (all-E)-|Stieva-A|Vesanoid|ATRA|Aknoten|
Eltrombopag Olamine	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	9	Eltrombopag|ELTROMBOPAG OLAMINE|Promacta|Eltrombopag Olamine|eltrombopag olamine|SB-497115-GR|ELTROMBOPAG|eltrombopag|Eltrombopag_Base|
Atrasentan Hydrochloride	No	No	No	No	No	6	Xinlay|(+)-A 127722|ABT-627|(2R,3R,4S)-4-(1,3-Benzodioxo-5-yl)-1-(2-(dibutylamino)-2-oxoethyl)-2-(4-methoxyphenyl)-3-pyrrolidinecarboxylic Acid Monohydrochloride|Atrasentan Hydrochloride|ATRASENTAN HYDROCHLORIDE|
Ribociclib/Letrozole	No	No	No	No	No	8	Kisqali and Femara Co-pack|Ribociclib + Letrozole|Ribociclib Plus Letrozole|Ribociclib-Letrozole|Ribociclib and Letrozole Co-pack|Ribociclib/Letrozole|Ribociclib-Letrozole Regimen|Kisqali/Femara|
Racemetyrosine/Methoxsalen/Phenytoin/Sirolimus SM-88	No	No	No	No	No	7	SM-88 Used with Methoxsalen/Phenytoin/Sirolimus|SM-88 Used with MPS|SM-88|SM-88/Methoxsalen/Phenytoin/Sirolimus|Racemetyrosine/Methoxsalen/Phenytoin/Sirolimus Combination SM88|Tyrosine Isomers/Phenytoin/Methoxsalen/Sirolimus|Racemetyrosine/Methoxsalen/Phenytoin/Sirolimus SM-88|
Decitabine	No	DrugBank_Yes	No	BindingDB_Yes	TTD_Yes	13	DECITABINE|Deoxyazacytidine|2'-Deoxy-5-azacytidine|4-Amino-1-(2-deoxy-beta-D-erythro-pentofuranosyl)-1,3,5-triazin-2(1H)-one|Decitabine|5-Aza-2'deoxycytidine|Dezocitidine|5-Azadeoxycytidine|5-Aza-2'-deoxycytidine|Dacogen|decitabine|Decitabine for Injection|5-Aza-2-deoxycytidine|
AZD1152-HQPA	No	No	No	No	No	4	"|AZD1152 HQPA|AZD1152HQPA|AZD2811|
PLX-4720	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	No	79	GTPL5703|ACT06829|"N-{3-[(5-chloro-1H-pyrrolo[2,3-b]pyridin-3-yl)carbonyl]-2,4-difluorophenyl}propane-1-sulfonamide"|HMS3265J09|AB0008154|SC-65663|X7406|"N-(3-(5-chloro-1H-pyrrolo[2,3-b]pyridine-3-carbonyl)-2,4-difluorophenyl)propane-1-sulfonamide"|"N-[3-({5-chloro-1H-pyrrolo[2,3-b]pyridin-3-yl}carbonyl)-2,4-difluorophenyl]propane-1-sulfonamide"|"Propane-1-sulfonic acid[3-(5-chloro-1H-pyrrolo[2,3-b]pyridine-3-carbonyl)-2,4-difluorophenyl]-amide"|CTK5H0564|MLS006010065|DB06999|AKOS015919071|FT-0673969|"N-[3-[(5-Chloro-1H-pyrrolo[2,3-b]pyridin-3-yl)carb"|HMS3265J10|AK162149|"1-Propanesulfonamide, N-[3-[(5-chloro-1H-pyrrolo[2,3-b]pyridin-3-yl)carbonyl]-2,4-difluorophenyl]-"|STL556055|PLX-4720|3c4c|AS-19376|BCP01754|ZINC39059267|SYN1069|CS-0094|DB-003736|Q-4563|J-522979|Q27088418|A19411|HY-51424|SMR004701225|EQY31RO8HA|EX-A186|UNII-EQY31RO8HA|HMS3654M10|"N-[3-(5-chloro-1H-pyrrolo[2,3-b]pyridine-3-carbonyl)-2,4-difluoro-phenyl]pr opane-1-sulfonamide"|HMS3244C03|HMS3244C04|CHEBI:90295|HMS3884C05|BDBM25617|AOB87700|"N-(3-(5-Chloro-1H-pyrrolo[2,3-b]pyridine-3-carbonyl)-2,4-difluorophenyl)propane-1-sulfonamide"|SCHEMBL133733|HMS3265I09|505P847|"N-[3-(5-chloro-1H-pyrrolo[2,3-b]pyridine-3-carbonyl)-2,4-difluoro-phenyl]propane-1-sulfonamide"|PLX4720|C17H14ClF2N3O3S|DTXSID10238711|BRD-K16478699-001-01-9|ABP000428|s1152|Raf Kinase Inhibitor V - CAS 918505-84-7|HMS3265I10|SW218119-2|"PLX-4720,PLX4720"|HMS3750K11|"N-[3-(5-chloro-1H-pyrrolo[2,3-b]pyridine-3-carbonyl)-2,4-difluorophenyl]propane-1-sulfonamide"|"a,a-dimethoxytoluene"|BBL102256|PLX-4720/PLX4720|PubChem19346|AC-23171|MFCD14635203|"propane-1-sulfonic acid [3-(5-chloro-1h-pyrrolo[2,3-b]pyridine-3-carbonyl)-2,4-difluoro-phenyl]-amide"|NCGC00187911-02|NCGC00187911-01|918505-84-7|PLX 4720|NCGC00187911-06|"N-[3-[(5-Chloro-1H-pyrrolo[2,3-b]pyridin-3-yl)carbonyl]-2,4-difluorophenyl]-1-propanesulfonamide"|CHEMBL1230020|CCG-268810|KS-000004WP|HMS3244D03|
Elotuzumab	IUPHAR_Yes	DrugBank_Yes	No	No	No	9	PDL063|HuLuc-63|ELOTUZUMAB|BMS-901608|HuLuc63|PDL-063|Anti-CS1_Monoclonal_Antibody_HuLuc63|Empliciti|Elotuzumab|
Abemaciclib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	No	TTD_Yes	6	Abemaciclib|LY-2835219|2-Pyrimidinamine, N-(5-((4-ethyl-1-piperazinyl)methyl)-2-pyridinyl)-5-fluoro-4-(4-fluoro-2-methyl-1-(1-methylethyl)-1H-benzimidazol-6-yl)|ABEMACICLIB|LY2835219|Verzenio|
Baiclein	No	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	No	2	"5,6,7-trihydroxyflavone"|Baicalein|
Metformin	No	DrugBank_Yes	No	BindingDB_Yes	TTD_Yes	4	Fortamet|Glumetza|Riomet|Glucophage|
CDK Inhibitor SNS-032	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	No	TTD_Yes	3	BMS-387032|CDK Inhibitor SNS-032|SNS-032|
Autologous Peripheral Blood Lymphocytes from Ibrutinib-treated Chronic Lymphocytic Leukemia Patients IOV-2001	No	No	No	No	No	6	Autologous Peripheral Blood Lymphocytes from Ibrutinib-treated Chronic Lymphocytic Leukemia Patients IOV-2001|IOV 2001|Autologous PBLs from Ibrutinib-treated CLL Patients|IOV2001|Autologous PBLs IOV-2001|IOV-2001|
Anastrozole	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	10	Anastrazole|Arimidex|Anastrozole|Alpha,alpha,alpha', alpha'-tetramethyl-5-(1H-1,2,4-triazol-1-ylmethyl)-1,3-benzenediacetonitrile|ZD-1033|2,2'-[5-(1H-1,2,4-Triazol-1-ylmethyl)-1,3-phenylene]di(2-methylpropionitrile)|ICI D1033|anastrozole|ICI-D1033|ANASTROZOLE|
Coenzyme Q10	No	DrugBank_Yes	No	No	No	11	ubiquinone|Q10|coenzyme Q10|vitamin Q10|2-(3,7,11,15,19,23,27,31,35,39-Decamethyl-2,6,10,14,18,22,26,30,34,38-tetracontadecanyl)-5,6-dimethoxy-3-methyl-2,5-cyclohexadiene-1,4-dione|Coenzyme Q10|CoQ10|Co-Q10|UBIDECARENONE|Ubidecarenone|Ubiquinone 10|
Sorafenib Tosylate	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	14	BA4 43 9006|sorafenib|SORAFENIB TOSYLATE|Bay-439006|SORAFENIB|BAY 43-9006|Nexavar|sorafenib tosylate|BAY_43-9006|Sorafenib Tosylate|Sorafenib|BAY 43-9006 Tosylate|BAY 54-9085|4-(4-(3-(4-Chloro-3-trifluoromethylphenyl)ureido)phenoxy)pyridine-2-carboxyllic Acid Methyamide-4-methylbenzenesulfonate Tosylate|
Vorinostat	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	12	SAHA|N-Hydroxy-N'-phenyloctanediamide|Suberanilohydroxamic Acid|vorinostat|L-001079038|Vorinostat|suberoylanilide hydroxamic acid|MSK-390|Suberoylanilide Hydroxamic Acid|Zolinza|VORINOSTAT|Suberoylanilide_Hydroxamic_Acid|
Ginsenoside Rb2	No	No	No	No	No	8	NSC-308878|DTXSID00911541|12-Hydroxy-20-[(6-O-pentopyranosylhexopyranosyl)oxy]dammar-24-en-3-yl 2-O-hexopyranosylhexopyranoside|FT-0626701|11021-13-9|Ginsenoside-Rb2|DB-050178|NSC308878|
Melphalan	No	DrugBank_Yes	No	BindingDB_Yes	TTD_Yes	28	4-[bis(2-chloroethyl)amino]-L-phenylalanine|L-sarcolysin|melphalan|MELPHALAN HYDROCHLORIDE|Alkeran|p-di(chloroethyl)amino-L-phenylalanine|L-Sarcolysin|Melphalanum|Sarcoclorin|Sarkolysin|Phenylalanine Nitrogen Mustard|L-Phenylalanine mustard|Melphalan|3-(p-(bis(2-chloroethyl)amino)phenyl)-L-Alanine, Hydrochloride|Phenylalanine nitrogen mustard|WR-19813|Alanine Nitrogen Mustard|Melphalan Hydrochloride|L-Sarcolysine|L-Sarcolysin Phenylalanine mustard|Alkerana|Evomela|Melphalan_Hydrochloride|Phenylalanine Mustard|L-Phenylalanine Mustard|CB-3025|MELPHALAN|L-PAM|
Dual IGF-1R/InsR Inhibitor BMS-754807	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	No	2	BMS-754807|Dual IGF-1R/InsR Inhibitor BMS-754807|
Entrectinib	No	DrugBank_Yes	KinaseResource_Yes	No	No	7	ENTRECTINIB|RXDX-101|N-(5-(3,5-Difluorobenzyl)-1H-indazol-3-yl)-4-(4-methylpiperazin-1yl)-2-(tetrahydro-2H-pyran-4-ylamino)benzamide|RXDX101|Entrectinib|RXDX 101|Rozlytrek|
Larotrectinib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	No	No	7	LAROTRECTINIB|LOXO-101|Larotrectinib|1-Pyrrolidinecarboxamide, N-(5-((2R)-2-(2,5-difluorophenyl)-1-pyrrolidinyl)pyrazolo(1,5-a)pyrimidin-3-yl)-3-hydroxy-, (3S)-|LOXO 101|ARRY 470|3S)-N-(5-((2R)-2-(2,5-Difluorophenyl)pyrrolidin-1-yl)pyrazolo(1,5-a)pyrimidin-3-yl)-3-hydroxypyrrolidine- 1-carboxamide|
Perhexiline maleate	No	No	No	BindingDB_Yes	No	3	Perhexiline maleate salt|Perhexiline maleate Hcl|"2-(2,2-Dicyclohexylethyl)piperidine"|
Idarubicin Hydrochloride	No	DrugBank_Yes	No	BindingDB_Yes	TTD_Yes	18	Idarubicin hydrochloride|IDARUBICIN|4-DMDR|idarubicin|(7S-cis)-9-Acetyl-7-[(3-amino-2,3,6-trideoxy-alpha-L-lyxo-hexopyranosyl)oxy]-7,8,9,10-tetrahydro-6,9,11-trihydroxy-5,12-naphthacenedione|4-Demethoxydaunomycin|SC-33428|Idarubicin Hydrochloride|Idarubicin HCl|Idarubicin_Hydrochloride|IMI-30|Idamycin|Zavedos|(1S,3S)-3-Acetyl-1,2,3,4,6,11-hexahydro-3,5,12-trihydroxy-6,11-dioxo-1-naphthacenyl-3-amino-2,3,6-trideoxy-alpha-L-hexopyranoside|4-Demethoxydaunorubicin|Idarubicin|4-demethoxydaunorubicin|IDARUBICIN HYDROCHLORIDE|
Fosgemcitabine Palabenamide	No	DrugBank_Yes	No	No	No	6	Gemictabine ProTide|Acelarin|FOSGEMCITABINE PALABENAMIDE|NUC 1031|Fosgemcitabine Palabenamide|NUC-1031|
SU14813	No	No	KinaseResource_Yes	No	No	1	SU 014813|
Ceritinib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	6	LDK378|2,4-Pyrimidinediamine, 5-chloro-N4-(2-((1-methylethyl)sulfonyl)phenyl)-N2-(5-methyl-2-(1-methylethoxy)-4-(4-piperidinyl)phenyl)-|LDK 378|CERITINIB|Zykadia|Ceritinib|
MLN120B	No	No	KinaseResource_Yes	No	No	1	ML120B|
Cabozantinib-S-Malate	No	No	No	No	No	
Fedratinib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	No	TTD_Yes	5	Fedratinib|SAR302503|FEDRATINIB|Benzenesulfonamide, N-(1,1-dimethylethyl)-3-((5-methyl-2-((4-(2-(1-pyrrolidinyl)ethoxy)phenyl)amino)-4-pyrimidinyl)amino)-|TG101348|
Lyso-Thermosensitive Liposome Doxorubicin	No	No	No	No	No	4	Heat-Activated Liposomal Doxorubicin Hydrochloride|Lyso-Thermosensitive Liposome Doxorubicin|ThermoDox|Temperature Sensitive Liposome Encapsulated Doxorubicin|
Resveratrol	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	No	5	RESVERATROL|3,4',5-Stilbenetriol|(E)-5-[2-(4-Hydroxyphenyl)ethenyl]-1,3-benzenediol|Resveratrol|resveratrol|
Carmustine	IUPHAR_Yes	DrugBank_Yes	No	BindingDB_Yes	TTD_Yes	23	Bis-Chloronitrosourea|Carmustine|N,N'-Bis(2-chloroethyl)-N-nitrosourea|SK 27702|Carmustinum|Nitrumon|Carmustin|WR-139021|1,3-Bis(2-chloroethyl)-1-nitrosourea|Nitrourean|Bis(chloroethyl) Nitrosourea|carmustine|BiCNU|Becenun|Gliadel|1,3-Bis(beta-chloroethyl)-1-nitrosourea|Becenum|Carmubris|SRI 1720|BCNU|CARMUSTINE|N,N'-bis(2-chloroethyl)-N-nitrosourea|FDA 0345|
Stauprimide	No	No	No	No	No	15	HY-15126|STAUPRIMIDE|"[9S-(9alpha,10beta,11beta,13alpha)]-N-(2,3,10,11,12,13-Hexahydro-10-methoxy-9-methyl-1,3-dioxo-9,13-epoxy-1H,9H-diindolo[1,2,3-gh"|AKOS024457783|Q7604751|CS-3530|ZINC100002122|J-009120|C35H28N4O5|"N-[(2S,3R,4R,6R)-3-Methoxy-2-methyl-16,18-dioxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide"|154589-96-5|Stauprimide - CAS 154589-96-5|HY-N6747|4068AH|"[9S-(9?,10?,11?,13?)]-N-(2,3,10,11,12,13-Hexahydro-10-methoxy-9-methyl-1,3-dioxo-9,13-epoxy-1H,9H-diindolo[1,2,3-gh:3',2',1'-lm]pyrrolo[3,4-j][1,7]benzodiazonin-11-yl)-N-methylbenzamide"|
JNJ-28312141	IUPHAR_Yes	No	KinaseResource_Yes	BindingDB_Yes	No	30	CHEMBL1908842|GTPL5689|SYN1154|JNJ 28312141|1149939-55-8 (free base)|JNJ28312141|5-cyano-N-[2-(cyclohexen-1-yl)-4-[1-[2-(dimethylamino)acetyl]piperidin-4-yl]phenyl]-1H-imidazole-2-carboxamide|Q27887253|885692-52-4|4-cyano-1h-imidazole-2-carboxylic acid{2-cyclohex-1-enyl-4-[1-(2-dimethylamino-acetyl)-piperidin-4-yl]-phenyl}-amide|"4-cyano-N-(5-(1-(2-(dimethylamino)acetyl)piperidin-4-yl)-2',3',4',5'-tetrahydro-[1,1'-biphenyl]-2-yl)-1H-imidazole-2-carboxamide"|4-Cyano-1H-imidazole-2-carboxylic acid {2-cyclohex-1-enyl-4-[1-(2-dimethylamino-acetyl)-piperidin-4-yl]-phenyl]-amide|JNJ-28312141 free base|NCGC00345853-02|DTXSID70237129|CHEMBL1908395|NCGC00345853-01|C26H32N6O2|SCHEMBL20484783|JNJ28312141; JNJ 28312141|BDBM50355499|BCP28018|JNJ-28312141|ZINC38226716|"1H-Imidazole-2-carboxamide, 5-cyano-n-(2-(1-cyclohexen-1-yl)-4-(1-(2-(dimethylamino)acetyl)-4-piperidinyl)phenyl)-"|4-Cyano-1H-imidazole-2-carboxylic acid {2-cyclohex-1-enyl-4-[1-(2-dimethylamino-acetyl)-piperidin-4-yl]-phenyl}-amide|UNII-YKQ241VJ92|SCHEMBL4981038|4-cyano-N-[2-(cyclohex-1-en-1-yl)-4-{1-[2-(dimethylamino)acetyl]piperidin-4-yl}phenyl]-1H-imidazole-2-carboxamide|YKQ241VJ92|
Prostate Health Cocktail Dietary Supplement	No	No	No	No	No	4	Prostate Health Cocktail Dietary Supplement|Cholecalciferol/d-Alpha Tocopherol/L-Selenomethionine/Green Tea Extract/Saw Palmetto Berry Extract/Daidzein/Genistein/Lycopene Prostate Health Supplement|PHC|Prostate Health Cocktail|
Aminolevulinic Acid	No	DrugBank_Yes	No	BindingDB_Yes	TTD_Yes	12	5-Aminolaevulinic Acid|5-Aminolevulinic Acid|AMINOLEVULINIC ACID|d-Amino-Levulinic Acid|5-Amino-4-oxopentanoic Acid|Delta-Aminolevulinic Acid|aminolevulinic acid|Aminolevulinic_Acid|Delta Aminolevulinic Acid|Aminolevulinic Acid|5-ALA|Amino-Levulinic Acid|
Autologous Bladder Cell Carcinoma RNAs/CD40L RNA Electroporated Autologous Matured Dendritic Cells	No	No	No	No	No	5	Bladder Cell Carcinoma RNAs/CD40L RNA-transfected Autologous Dendritic Cells|Autologous Bladder Cell Carcinoma RNAs/CD40L RNA Electroporated Autologous Matured Dendritic Cells|AGS-003-BLD|Autologous DCs Electroporated with Autologous Tumor-derived IVT RNAs/CD40L IVT RNA|Autologous DCs Electroporated with Autologous Tumor-derived RNAs/CD40L RNA|
STO609	IUPHAR_Yes	No	No	No	No	2	"7-Oxo-7H-benzimidazo[2,1-a]benz[de]isoquinoline-3-carboxylic acid - acetic acid"|STO609-acetic-acid|
Caffeic Acid Phenethyl Ester	No	No	KinaseResource_Yes	BindingDB_Yes	No	5	CAFFEIC ACID PHENETHYL ESTER|3-(3,4-Dihydroxyphenyl)-2-propenoic Acid, 2-Phenylethyl Ester|Caffeic Acid Phenethyl Ester|CAPE|2-Phenylethyl 3-(3,4-dihydroxyphenyl)-2-propenoate|
Idelalisib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	9	Zydelig|PI3K-delta_Inhibitor_CAL-101|CAL-101|GS 1101|IDELALISIB|Phosphoinositide-3 Kinase Delta Inhibitor CAL-101|Idelalisib|5-Fluoro-3-phenyl-2-((S)-1-(9H-purin-6-ylamino)-propyl)-3H- quinazolin-4-one|GS-1101|
Cediranib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	4	4-[(4-fluoro-2-methyl-1H-indol-5-yl)oxy]-6-methoxy-7-[3-(pyrrolidin-1-yl)propoxy]quinazoline|CEDIRANIB|AZD2171|Cediranib|
Romiplostim	IUPHAR_Yes	DrugBank_Yes	No	No	TTD_Yes	7	Romiplostim|AMG531|ROMIPLOSTIM|romiplostim|AMG 531|Amgen Megakaryopoiesis Protein 2|Nplate|
MEK Inhibitor TAK-733	No	DrugBank_Yes	KinaseResource_Yes	No	TTD_Yes	2	TAK-733|MEK Inhibitor TAK-733|
Aurora Kinase Inhibitor MLN8054	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	5	Aurora Kinase Inhibitor MLN8054|MLN 8054|MLN8054|MLN-8054|Benzoic Acid, 4-((9-Chloro-7-(2,6-difluorophenyl)-5H-pyrimido(5,4-d)(2)benzazepin-2-yl)amino)-|
Gilteritinib	No	DrugBank_Yes	KinaseResource_Yes	No	No	5	6-Ethyl-3-((3-methoxy-4-(4-(4-methylpiperazin-1-yl)piperidin-1-yl)phenyl)amino)-5-((tetrahydro-2H-pyran-4-yl)amino)pyrazine-2-carboxamide|GILTERITINIB|ASP2215|ASP-2215|Gilteritinib|
Pamidronate Disodium	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	No	TTD_Yes	11	Aminomux|pamidronate|Pamidronic Acid|GCP-23339A|PAMIDRONIC ACID|Pamidronate Disodium|Aredia|Pamidronic_Acid|Pamidronate|PAMIDRONATE DISODIUM|Pamidronate_Disodium|
Ibrutinib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	No	8	BTK_Inhibitor_PCI-32765|Imbruvica|CRA-032765|BTK Inhibitor PCI-32765|IBRUTINIB|PCI-32765|Ibrutinib|2-Propen-1-one, 1-((3R)-3-(4-amino-3-(4-phenoxyphenyl)-1h-pyrazolo(3,4-d)pyrimidin-1-yl)-1-piperidinyl)-|
Pelitinib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	No	6	PELITINIB|EKB-569|(2E)-N-(4-((3-Chloro-4-fluorophenyl)amino)-3-cyano-7-ethoxyquinolin-6-yl)-4-(dimethylamino)but-2-enamide|Pelitinib|EKB 569|WAY-EKB 569|
Vandetanib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	8	Vandetanib|ZD-6474|vandetanib|Zactima|AZD6474|Caprelsa|VANDETANIB|ZD6474|
Dacomitinib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	8	DACOMITINIB|EGFR Inhibitor PF-00299804|(2E)-N-(4-((3-Chloro-4-Fluorophenyl)Amino)-7-Methoxyquinazolin-6-yl)-4-Piperidin-1-ylbut-2-Enamide|Dacomitinib|PF-00299804|PF-00299804-03|PF-299804|Vizimpro|
Ponatinib Hydrochloride	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	11	Multitargeted_Receptor_Tyrosine_Kinase_Inhibitor_AP24534|Iclusig|PONATINIB|AP-24534|AP24534|Benzamide, 3-(2-Imidazo(1,2-B)Pyridazin-3-Ylethynyl)-4-Methyl-N-(4-((4-Methyl-1- Piperazinyl)Methyl)-3-(Trifluoromethyl)Phenyl)|Benzamide, 3-(2-Imidazo(1,2-B)Pyridazin-3-Ylethynyl)-4-Methyl-N-(4-((4-Methyl-1- Piperazinyl)Methyl)-3-(Trifluoromethyl)Phenyl)-, Hydrochloride (1:1)|Ponatinib Hydrochloride|AP24534 HCl|PONATINIB HYDROCHLORIDE|Ponatinib|
JAK Inhibitor INCB047986	No	No	No	No	No	4	INCB 047986|JAK Inhibitor INCB047986|INCB-047986|INCB047986|
Ridaforolimus	IUPHAR_Yes	DrugBank_Yes	No	No	TTD_Yes	7	AP23573|Rapamycin, 42-(dimethylphosphinate)|RIDAFOROLIMUS|Deforolimus|Ridaforolimus|ridaforolimus|MK-8669|
Epirubicin Hydrochloride	No	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	20	Epidoxorubicin|3-Glycoloyl-1,2,3,4,6,11-hexahydro-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1-naphthacenyl-3-amino-2,3,6-trideoxy-alpha-L-arabino-hexopyranoside|Pidorubicin|(8S-cis)-10-((3-Amino-2,3,6-trideoxy-beta-L-arabino-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-5,12-naphthacenedione Hydrochloride|epirubicin hydrochloride|Pharmorubicin PFS|epirubicin|Ellence|Epi DX|4'-epi DX|Epirubicin Hydrochloride|4'-Epidoxorubicin|EPIRUBICIN|4'-Epiadriamycin|3-Glycoloyl-1,2,3,4,6,11-hexahydro-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1-naphthacenyl-3-amino-2,3,6-trideoxy-alpha-L-arabino-hexopyranoside Hydrochloride|Epirubicin|(8S-cis)-10-((3-Amino-2,3,6-trideoxy-beta-L-arabino-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-5,12-naphthacenedione|Epirubicin_Base|IMI-28|EPIRUBICIN HYDROCHLORIDE|
Neratinib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	8	HKI-272|HKI 272|(2E)-N-(4-((3-chloro-4-((pyridin-2-yl)methoxy)phenyl)amino)-3-cyano-7-ethoxyquinolin-6-yl)-4-(dimethylamino)but-2-enamide|PB-272|NERATINIB|PB 272|Neratinib|2-Butenamide, N-(4-((3-chloro-4-(2-pyridinylmethoxy)phenyl)amino)-3-cyano-7-ethoxy-6-quinolinyl)-4-(dimethylamino)-, (2E)-|
DTRMWXHS-12/Everolimus/Pomalidomide Combination Agent DTRM-555	No	No	No	No	No	6	DTRMWXHS-12-Everolimus-Pomalidomide|DTRMWXHS-12/Everolimus/Pomalidomide Combination Agent DTRM-555|DTRM 555|DTRM-555|DTRMWXHS-12/Everolimus/Pomalidomide|DTRM555|
Busulfan	No	DrugBank_Yes	No	No	TTD_Yes	35	1,4-Di(methylsulfonyloxy)butane|Glyzophrol|Misulban|Myelosan|Mitosan|Misulfan|busulfan|GT-41|Sulfabutin|Busulphan|1,4-Butanediol Dimethylsulfonate|Busulfan|CB-2041|Tetramethylene bis[methanesulfonate]|GT 41|BUS|Myleran|1,4-Bitanediol Dimethanesulfonate Esters|Busulfex|Methanesulfonic acid, tetramethylene ester|CB 2041|Tetramethylene Bis(methanesulfonate)|1,4-Di(methanesulfonyloxy)butane|Joacamine|Myeleukon|BUSULFAN|Myeloleukon|Mylecytan|Bussulfam|Methanesulfonic Acid Tetramethylene Ester|Busulfanum|1, 4-Bis[methanesulfonoxy]butane|1,4-Bis(methanesulfonoxy)butane|Mielucin|WR-19508|
Ipilimumab	IUPHAR_Yes	DrugBank_Yes	No	No	TTD_Yes	9	BMS-734016|MDX-010|Ipilimumab|ipilimumab|Anti-Cytotoxic T-Lymphocyte-Associated Antigen-4 Monoclonal Antibody|MDX-CTLA4|Anti-Cytotoxic_T-Lymphocyte-Associated_Antigen-4_Monoclonal_Antibody|IPILIMUMAB|Yervoy|
Navitoclax	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	6	BcI-2 Family Protein Inhibitor ABT-263|navitoclax|Navitoclax|A-855071.0|ABT-263|NAVITOCLAX|
Elesclomol	No	DrugBank_Yes	No	No	No	4	ELESCLOMOL|1-N'-benzenecarbothioyl-3-(2-benzenecarbothioyl-2-methylhydrazinyl)-N'-methyl- oxopropanehydrazidide|Elesclomol|Propanedioic Acid, Bis[2-methyl-2-(phenylthioxomethyl)hydrazide]|
Nab-paclitaxel/Rituximab-coated Nanoparticle AR160	No	No	No	No	No	5	Abraxane coated with Rituximab|AR160|Abraxane/Rituxan 160 Complex|Nab-paclitaxel/Rituximab-coated Nanoparticle AR160|Abraxane Coated with Rituximab 160nm Nanoparticle|
Vinorelbine Tartrate Emulsion	No	No	No	No	No	3	Vinorelbine Tartrate Emulsion|Vinorelbine Tartrate Injectable Emulsion|ANX-530|
