Drug	Synonyms
Tretinoin	TRETINOIN|Airol|Tretinoinum|Cordes Vas|Eudyna|Ro 5488|Trans Vitamin A Acid|Retin-A-Micro|tretinoin|Epi-Aberel|trans-Retinoic Acid|Renova|all-trans-Retinoic acid|all trans-Retinoic acid|Dermairol|Tretinoin|trans-Retinoic acid|Vitamin A acid, all-trans-|all-trans retinoic acid|Retinoic Acid|All-trans Retinoic Acid|Retin-A MICRO|(All-E)-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic Acid|Aberel|Avita|Vitamin A acid|Stieva-A Forte|Trans Retinoic Acid|Vitinoin|All-trans Vitamin A Acid|vitamin A acid|retinoic acid|beta-Retinoic Acid|Retin-A|Retisol-A|Vitamin A Acid|all-trans-Vitamin A acid|2,4,6,8-Nonatetraenoic acid, 3, 7-dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-, (all-E)-|Stieva-A|Vesanoid|ATRA|Aknoten|
Dasatinib	Dasatinib|dasatinib|Sprycel|Dasatinib Monohydrate|BMS-354825|DASATINIB|5-Thiazolecarboxamide, N-(2-chloro-6-methylphenyl)-2-((6-(4-(2-hydroxyethyl)-1-piperazinyl)-2-methyl-4-pyrimidinyl)amino)-, Monohydrate|Dasatinib Hydrate|
Eribulin	Eribulin|ERIBULIN|ER-086526|2-(3-Amino-2-hydroxypropyl)hexacosahydro-3-methoxy-26-methyl-20,27-bis(methylene)11,15-18,21-24,28-triepoxy-7,9-ethano-12,15-methano-9H,15H-furo(3,2-i)furo(2',3'-5,6)pyrano(4,3-b)(1,4)dioxacyclopentacosin-5-(4H)-one|
Imatinib	Imatinib|IMATINIB|4-[(4-Methyl-1-piperazinyl)methyl]-N-[4-methyl-3-[[4-(3-pyridinyl)-2-pyrimidinyl]amino]phenyl]benzamide|
Bortezomib	PS341|LDP 341|Bortezomib|[(1R)-3-Methyl-1-[[(2S)-1-oxo-3-phenyl-2-[(pyrazinylcarbonyl)amino]propyl]amino]butyl]boronic Acid|velcade|MLN341|BORTEZOMIB|PS-341|bortezomib|Velcade|
Abiraterone	CB 7598|Abiraterone|17-(3-Pyridyl)androsta-5,16-dien-3beta-ol|ABIRATERONE|
Cationic Liposome-Encapsulated Paclitaxel	EndoTAG-1|LipoPac|Cationic Liposome-Encapsulated Paclitaxel|MBT-0206|
Pegylated Liposomal Irinotecan	IHL-305|Pegylated Liposomal Irinotecan|
Erdafitinib	1,2-Ethanediamine, N1-(3,5-dimethoxyphenyl)-N2-(1-methylethyl)-N1-(3-(1-methyl-1H-pyrazol-4-yl)-6-quinoxalinyl)-|JNJ-42756493|Balversa|Erdafitinib|ERDAFITINIB|
Palbociclib	6-Acetyl-8-cyclopentyl-5-methyl-2-((5-(piperazin-1-yl)pyridin-2-yl)amino)-8h-pyrido(2,3-d)pyrimidin-7-one|PALBOCICLIB|PD 991|Palbociclib|PD-0332991|Pyrido(2,3-d)pyrimidin-7(8H)-one, 6-Acetyl-8-cyclopentyl-5-methyl-2-((5-(1-piperazinyl)-2-pyridinyl)amino)-|PD 332991|PD 0332991|Ibrance|
Tretinoin Liposome	All-trans-retinoic acid liposomal|Liposomal all-trans-retinoic acid|TretinoinLF|Atragen|Liposomal tretinoin|Tretinoin Liposome|AR-623|Tretinoin Liposomal|
Submicron Particle Paclitaxel Sterile Suspension	NanoPac|Sterile Nanoparticle-based Paclitaxel Suspension|Submicron Particle Paclitaxel Formulation|Submicron Particle Paclitaxel Sterile Suspension|Submicron Particle Paclitaxel|Sterile Nanoparticulate Paclitaxel|
Anti-CTLA4 MoAb RNA/GITRL RNA-transfected Autologous Dendritic Cell Vaccine	anti-CTLA-4 mAb Heavy and Light Chain RNA/GITRL RNA-transfected Autologous DC|Anti-CTLA4 MoAb RNA/GITRL RNA-transfected Autologous Dendritic Cell Vaccine|GITRL/antiCTLA4 RNA DC|
Exemestane	exemestane|EXEMESTANE|6-Methyleneandrosta-1,4-diene-3,17-dione|FCE-24304|Aromasin|Exemestane|
Lapatinib Ditosylate	lapatinib ditosylate|4-Quinazolinamine, N-(3-chloro-4-((3-fluorophenyl)methoxy)phenyl)-6-(5-(((2-(methylsulfonyl)ethyl)amino)methyl)-2-furanyl), bis(4-methylbenzenesulfonate), Monohydrate|LAPATINIB DITOSYLATE|Lapatinib Ditosylate|Tykerb|
Vector-peptide Conjugated Paclitaxel	Taxol-Angiopep Conjugate|Vector-peptide Conjugated Paclitaxel|
Ponatinib	PONATINIB|AP-24534|AP24534|Benzamide, 3-(2-Imidazo(1,2-B)Pyridazin-3-Ylethynyl)-4-Methyl-N-(4-((4-Methyl-1- Piperazinyl)Methyl)-3-(Trifluoromethyl)Phenyl)|Ponatinib|
Trastuzumab Deruxtecan	Enhertu|DS-8201a|Fam-trastuzumab Deruxtecan-nxki|TRASTUZUMAB DERUXTECAN|DS-8201|Trastuzumab Deruxtecan|WHO 10516|
Cold Contaminant-free Iobenguane I-131	Cold Contaminant-free I 131-MIBG|Ultratrace MIBG|Azedra|Cold Contaminant-free Iobenguane I 131|Ultratrace Iodine I 131 Metaiodobenzylguanidine|Cold Contaminant-free Iobenguane I-131|
Irinotecan-Eluting Beads	CM-BC2|Irinotecan Hydrochloride Drug-eluting Beads|Irinotecan-Eluting Beads|
HER2-targeted Liposomal Doxorubicin Hydrochloride MM-302	HER2-targeted Liposomal Doxorubicin Hydrochloride MM-302|MM-302|
Abemaciclib	Abemaciclib|LY-2835219|2-Pyrimidinamine, N-(5-((4-ethyl-1-piperazinyl)methyl)-2-pyridinyl)-5-fluoro-4-(4-fluoro-2-methyl-1-(1-methylethyl)-1H-benzimidazol-6-yl)|ABEMACICLIB|LY2835219|Verzenio|
Sorafenib Tosylate	sorafenib tosylate|Sorafenib Tosylate|sorafenib|SORAFENIB TOSYLATE|BAY 43-9006 Tosylate|BAY 54-9085|4-(4-(3-(4-Chloro-3-trifluoromethylphenyl)ureido)phenoxy)pyridine-2-carboxyllic Acid Methyamide-4-methylbenzenesulfonate Tosylate|Nexavar|
Trastuzumab Monomethyl Auristatin F	FS-1502|Antibody-drug Conjugate FS-1502|Trastuzumab MMAF|Trastuzumab Monomethyl Auristatin F|FS1502|FS 1502|Anti-HER2 ADC FS-1502|ADC FS-1502|
Erlotinib	Erlotinib|erlotinib|ERLOTINIB|
Sorafenib	BA4 43 9006|sorafenib|Bay-439006|Sorafenib|SORAFENIB|BAY 43-9006|
Dinaciclib	2-Piperidineethanol, 1-[3-ethyl-7-[[(1-oxido-3-pyridinyl)methyl]amino]pyrazolo[1,5- a]pyrimidin-5-yl]-, (2S)-|dinaciclib|Dinaciclib|CDK inhibitor SCH 727965|CDK Inhibitor SCH 727965|SCH 727965|DINACICLIB|MK-7965|
Carboplatin	platinum, diammine(1,1-cyclobutanedicarboxylato(2-))-, (SP-4-2)|Paraplat|CARBOPLATIN|Novoplatinum|Ribocarbo|cis-diammine(cyclobutanedicarboxylato)platinum II|JM-8|1,1-cyclobutanedicarboxylic acid platinum complex|Carboplatinum|Nealorin|(SP-4-2)-diammine[1,1-cyclobutanedicarboxylato(2--)-O,O']platinum|cis-diammine(1,1-cyclobutanedicarboxylato) platinum(II)|Carboplatin Hexal|Carbosol|Ercar|Cis-Diammine(cyclobutane-1,1-dicarboxylato)platinum|Blastocarb|CBDCA|Paraplatin|carboplatin|Carboplatin|Paraplatine|Paraplatin AQ|Carboplatino|Carbosin|Displata|Carboplat|Carbotec|Platinwas|
Anti-FRA/Eribulin Antibody-drug Conjugate MORAb-202	MORAb 202|MORAb202|Anti-FRA/Eribulin Antibody-drug Conjugate MORAb-202|Anti-FRA ADC MORAb-202|ADC MORAb-202|Anti-FRA/Eribulin ADC MORAb-202|MORAb-202|
Panobinostat Nanoparticle Formulation MTX110	MTX-110|MTX110|Panobinostat Nanoparticle Formulation MTX110|MTX 110|
Paclitaxel Injection Concentrate for Nanodispersion	PICN|Paclitaxel Injection Concentrate for Nanodispersion|
Neratinib	HKI-272|HKI 272|(2E)-N-(4-((3-chloro-4-((pyridin-2-yl)methoxy)phenyl)amino)-3-cyano-7-ethoxyquinolin-6-yl)-4-(dimethylamino)but-2-enamide|PB-272|NERATINIB|PB 272|Neratinib|2-Butenamide, N-(4-((3-chloro-4-(2-pyridinylmethoxy)phenyl)amino)-3-cyano-7-ethoxy-6-quinolinyl)-4-(dimethylamino)-, (2E)-|
Cabozantinib S-malate	Cometriq|XL184|BMS-907351|CABOZANTINIB S-MALATE|Cabometyx|XL-184|Butanedioic acid, 2-hydroxy-, (2S)-, compd. with N-[4-[(6,7-dimethoxy-4-quinolinyl)oxy]phenyl]-N'-(4-fluorophenyl)-1,1-cyclopropanedicarboxamide (1:1)|Cabozantinib S-malate|
Trastuzumab	Anti-erbB2 Monoclonal Antibody|Anti-p185-HER2|SB3|Trastuzumab Biosimilar ABP 980|Trastuzumab Biosimilar PF-05280014|Anti-ERB-2|Herceptin|Trastuzumab-dkst|PF-05280014|MoAb HER2|c-erb-2 Monoclonal Antibody|Trazimera|Anti-c-erbB2 Monoclonal Antibody|Trastuzumab Biosimilar ALT02|Herzuma|trastuzumab biosimilar EG12014|Anti-erbB-2|Trastuzumab-pkrb|Trastuzumab-anns|Ontruzant|Trastuzumab-qyyp|TRASTUZUMAB|Trastuzumab Biosimilar HLX02|Anti-HER2/c-erbB2 Monoclonal Antibody|Trastuzumab Biosimilar GB221|RO0452317|Trastuzumab-dttb|ABP 980|Monoclonal Antibody HER2|Monoclonal Antibody c-erb-2|Immunoglobulin G 1 (Human-Mouse Monoclonal RhuMab HER2gamma1-Chain Antihuman p185(Sup c-erbB2) Receptor), Disulfide with Human-Mouse Monoclonal RhuMab HER2 Light Chain, Dimer|rhuMAb HER2|trastuzumab|HER2 Monoclonal Antibody|Anti-c-ERB-2|Ogivri|Herceptin Biosimilar PF-05280014|Herceptin Trastuzumab Biosimilar PF-05280014|ALT02|Kanjinti|Trastuzumab Biosimilar SB3|Trastuzumab|
Letrozole	letrozole|CGS 20267|Femara|LETROZOLE|4,4'-(1H-1,2,4triazol-1-ylmethylene)dibenzonitrile|Letrozole|
DTRMWXHS-12/Everolimus/Pomalidomide Combination Agent DTRM-555	DTRMWXHS-12-Everolimus-Pomalidomide|DTRMWXHS-12/Everolimus/Pomalidomide Combination Agent DTRM-555|DTRM 555|DTRM-555|DTRMWXHS-12/Everolimus/Pomalidomide|DTRM555|
Erlotinib Hydrochloride	Erlotinib Hydrochloride|ERLOTINIB HYDROCHLORIDE|OSI-774|Tarceva|erlotinib hydrochloride|CP-358,774|N-(3-Ethynylphenyl)-6,7-bis(2-methoxyethoxy)-4-quinazolinamine Monohydrochloride|Cp-358,774|
Gemcitabine	Difluorodeoxycytidine|dFdCyd|1-(2-Oxo-4-amino-1,2-dihydropyrimidin-1-yl)-2-deoxy-2,2-difluororibose|Gemcitabine|gemcitabine|2'Deoxy-2',2'-Difluorocytidine|GEMCITABINE|dFdC|
Ipilimumab	BMS-734016|MDX-010|Ipilimumab|ipilimumab|Anti-Cytotoxic T-Lymphocyte-Associated Antigen-4 Monoclonal Antibody|MDX-CTLA4|IPILIMUMAB|Yervoy|
Palbociclib Isethionate	PD 0332991-0054|PALBOCICLIB ISETHIONATE|Palbociclib Isethionate|PF-00080665-73|6-Acetyl-8-cyclopentyl-5-methyl-2-((5-(piperazin-1-yl)pyridin-2-yl)amino(pyrido(2,3-d)pyrimidin-7(8h)-one mono(2-hydroxyethanesulfonate)|
Ribociclib/Letrozole	Kisqali and Femara Co-pack|Ribociclib + Letrozole|Ribociclib Plus Letrozole|Ribociclib-Letrozole|Ribociclib and Letrozole Co-pack|Ribociclib/Letrozole|Ribociclib-Letrozole Regimen|Kisqali/Femara|
Niraparib Tosylate Monohydrate	2H-Indazole-7-carboxamide, 2-(4-(3S)-3-piperidinylphenyl)-, 4-Methylbenzenesulfonate, Hydrate (1:1:1)|NIRAPARIB TOSYLATE MONOHYDRATE|Niraparib Tosylate Monohydrate|Zejula|
Everolimus Tablets for Oral Suspension	Everolimus Tablets for Oral Suspension|Afinitor Disperz|
Afatinib Dimaleate	Afatinib Dimaleate|BIBW 2992MA2|BIBW2992 MA2|(2E)-N-(4-((3-Chloro-4-fluorophenyl)amino)-7-(((3S)-tetrahydrofuran-3-yl)oxy)quinazolin- 6-yl)-4-(dimethylamino)but-2-enamide bis(hydrogen (2Z)-but-2-enedioate)|2-Butenamide, N-[4-[(3-chloro-4-fluorophenyl)amino]7-[[(3S)-tetrahydro-3-furanyl]oxy]-6-quinazolinyl]-4-(dimethylamino)-,(2E)-, (2Z)-2-Butenedioate (1:2)|AFATINIB DIMALEATE|Gilotrif|
Glycooptimized Trastuzumab-GEX	TrasGEX|Ant-HER2 Monoclonal Antibody GT-Mab 7.3-GEX|GT-Mab 7.3-GEX|Glycooptimized Trastuzumab-GEX|
Vinorelbine Tartrate	Vinorelbine Ditartrate|Vinorelbine Tartrate|vinorelbine tartrate|Biovelbin|KW-2307|VINORELBINE TARTRATE|NVB|Navelbine|Navelbine ditartrate|Eunades|Navelbine Ditartrate|
Paclitaxel Poliglumex	Polyglutamic Acid Paclitaxel|paclitaxel poliglumex|PG-TXL|CT-2103|Paclitaxel Poliglumex|Paclitaxel-Polyglutamate Polymer|CT2103|PACLITAXEL POLIGLUMEX|Paclitaxel Polyglutamate|Poly-L-Glutamic acid-Paclitaxel Conjugate|Xyotax|paclitaxel polyglutamate|
Gemcitabine Hydrochloride Emulsion	D07001-F4|Gemcitabine Hydrochloride Emulsion|
Lenvatinib	E7080|LENVATINIB|ER-203492-00|Multi-Kinase Inhibitor E7080|6-Quinolinecarboxamide, 4-[3-chloro-4-[[(cyclopropylamino)carbonyl]amino]phenoxy]- 7-methoxy-|Lenvatinib|
Venetoclax	ABT-0199|VENETOCLAX|GDC-0199|Venclyxto|RG7601|Venclexta|4-(4-((2-(4-Chlorophenyl)-4,4-dimethylcyclohex-1-en-1-yl)methyl)piperazin-1-yl)-N-((3-nitro-4-((tetrahydro-2H-pyran-4-ylmethyl)amino)phenyl)sulfonyl)-2-(1H-pyrrolo(2,3-b)pyridin-5-yloxy)benzamide|ABT199|ABT-199|Venetoclax|
Topical Gemcitabine Hydrochloride	Topical Gemcitabine Hydrochloride|
Liposomal Eribulin Mesylate	Liposomal Eribulin Mesylate|E7389 Liposomal Formulation|E7389-LF|
Vinorelbine Tartrate Emulsion	Vinorelbine Tartrate Emulsion|Vinorelbine Tartrate Injectable Emulsion|ANX-530|
Paclitaxel Liposome	LEP-ETU|LipoTaxen|Liposome-Encapsulated Paclitaxel|Paclitaxel Liposome|liposomal paclitaxel|PNU-93914|paclitaxel liposome|
Paclitaxel Trevatide	ANG1005|Paclitaxel Trevatide|ANG-1005|PACLITAXEL TREVATIDE|GRN1005|
Vinorelbine Tartrate Oral	Vinorelbine Tartrate Oral|
Niraparib	MK-4827|MK4827|Niraparib|NIRAPARIB|
Deuterated Enzalutamide	D3-ENT|HC 1119|HC1119|Deuterated Enzalutamide|HC-1119|N-trideuteromethyl Enzalutamide|Enzalutamide Deuterated|
Celecoxib	Benzenesulfonamide, 4-[5-(4-methylphenyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl]-|Celebrex|4-(5-(4-methylphenyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl)benzenesulfonamide|celecoxib|SC-58635|Celecoxib|CELECOXIB|YM 177|
Atrasentan Hydrochloride	Xinlay|(+)-A 127722|ABT-627|(2R,3R,4S)-4-(1,3-Benzodioxo-5-yl)-1-(2-(dibutylamino)-2-oxoethyl)-2-(4-methoxyphenyl)-3-pyrrolidinecarboxylic Acid Monohydrochloride|Atrasentan Hydrochloride|ATRASENTAN HYDROCHLORIDE|
Autologous Mesothelin-specific Human mRNA CAR-transfected PBMCs MCY-M11	MCY-M11|Anti-mesothelin mRNA-transfected Autologous PBMCs MCY-M11|Autologous Mesothelin-specific Human mRNA CAR-transfected PBMCs MCY-M11|
Autologous OFA-iLRP RNA-Transfected Dendritic Cell Vaccine	Autologous OFA-iLRP RNA-Transfected Dendritic Cell Vaccine|
Imatinib Mesylate	4-[(4-Methyl-1-piperazinyl)methyl]-N-[4-methyl-3-[[4-(3-pyridinyl)-2-pyrimidinyl]amino]phenyl]benzamide Monomethanesulfonate|CGP 57148|STI571|CGP57148B|STI 571|Gleevec|Glivec|STI-571|imatinib mesylate|Imatinib Mesylate|IMATINIB MESYLATE|
Irinotecan Hydrochloride	Camptothecin 11|IRINOTECAN HYDROCHLORIDE|Irinomedac|Campto|CPT-11|Irinotecan Hydrochloride Trihydrate|Irinotecan Hydrochloride|Camptothecin-11|Irinotecan Monohydrochloride Trihydrate|CPT 11|U-101440E|irinotecan hydrochloride|Camptosar|
Cisplatin Liposomal	Cisplatin, Liposomal|STEALTH Liposomal Cisplatin|STEALTH Liposomal Encapsulated Cisplatin|STEALTH Cisplatin|Liposomal Cisplatin|SPI-77|SPI-077|STEALTH Liposome Cisplatin|Cisplatin Liposomal|
Encapsulated Rapamycin	Encapsulated Rapamycin|Encapsulated Sirolimus|eRapa (TM)|Microencapsulated Rapamycin|
Irinotecan	Irinotecan|7-ethyl-10-[4-(1-piperidino)-1-piperidino]carbonyloxycamptothecin|[1,4'-bipiperidine]-1'-carboxylic acid (S)-4,11-diethyl-3,4,12,14-tetrahydro-4-hydroxy-3,14-dioxo-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinolin-9-yl ester|irinotecan|(+)-7-ethyl-10-hydroxycamptothecine 10-[1,4'-bipiperidine]-1'-carboxylate|(+)-(4S)-4,11-diethyl-4-hydroxy-9-[(4-piperidino-piperidino)carbonyloxy]-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinol-3,14,(4H,12H)-dione|IRINOTECAN|
Trastuzumab Conjugate BI-CON-02	Trastuzumab Conjugate BI-CON-02|BI-CON-02|
Lorlatinib	Lorlatinib|Lorbrena|2H-4,8-Methenopyrazolo(4,3-H)(2,5,11)benzoxadiazacyclotetradecine-3-carbonitrile, 7-amino-12-fluoro-10,15,16,17-tetrahydro-2,10,16-trimethyl-15-oxo-, (10R)-|LORLATINIB|7-Amino-12-fluoro-2,10,16-trimethyl-15-oxo-10,15,16,17-tetrahydro-2H-8,4-(metheno)pyrazolo(4,3-h)(2,5,11)benzoxadiazacyclotetradecine-3-carbonitrile|PF-06463922|
Satraplatin	(OC-6-43)-bis(acetato-O)amminedichloro(cyclohexanamine)platinum|platinum,bis(acetato-O)amminedichloro(cyclohexanamine)-,(OC-6-43)|Orplatna|Satraplatin|(OC-6-43)-bis(acetato)amminedichloro(cyclohexylamine)platinum|BMS-182751|JM-216|JM 216|BMY-45594|satraplatin|SATRAPLATIN|
DHA-Paclitaxel	Taxoprexin|Docosahexaenoic Acid-Paclitaxel conjugate|DHA-Paclitaxel|DHA-paclitaxel|TXP|
Trametinib Dimethyl Sulfoxide	Trametinib Dimethyl Sulfoxide|TRAMETINIB DIMETHYL SULFOXIDE|
Capecitabine Rapidly Disintegrating Tablet	Capecitabine RDT|Capecitabine Rapidly Disintegrating Tablet|
Anti-CTLA4 MoAb RNA-transfected Autologous Dendritic Cell Vaccine	anti-CTLA-4 mAb Heavy and Light Chain RNA-transfected Autologous DC|antiCTLA4 RNA DC|Anti-CTLA4 MoAb RNA-transfected Autologous Dendritic Cell Vaccine|
Lead Pb 212 TCMC-trastuzumab	Lead Pb 212 TCMC-Herceptin|[212]Pb TCMC-Herceptin|[212]Pb TCMC-trastuzumab|Lead Pb 212 TCMC-trastuzumab|
Neratinib Maleate	2-Butenamide, N-(4-((3-chloro-4-(2-pyridinylmethoxy)phenyl)amino)-3-cyano-7-ethoxy-6-quinolinyl)-4-(dimethylamino)-, (2E)-, (2Z)-2-butenedioate (1:1)|NERATINIB MALEATE|HKI-272 Maleate|Nerlynx|Neratinib Maleate|
Vinorelbine	vinorelbine|Dihydroxydeoxynorvinkaleukoblastine|VINORELBINE|5'-Nor-Anhydrovinblastine|3',4'-Didehydro-4'-deoxy-C'-norvincaleukoblastine|nor-5'-Anhydrovinblastine|Vinorelbine|
Atezolizumab	MPDL 3280A|MPDL328OA|MPDL 328OA|Tecentriq|Immunoglobulin G1, Anti-(human CD Antigen cd274) (Human Monoclonal MPDL3280A Heavy Chain), Disulfide with Human Monoclonal MPDL3280A Kappa-chain, Dimer|ATEZOLIZUMAB|MPDL-3280A|RG7446|MPDL3280A|RO5541267|Atezolizumab|
