Drug	Synonyms
Romidepsin	depsipeptide|ROMIDEPSIN|L-Valine, N- (3-hydroxy-7-mercapto-1-oxo-4-heptenyl)valyl- cysteinyl-2, 3-didehydro-2-aminobutanoyl-,xi-lactone, cyclic (1-2)-disulfide|Romidepsin|Istodax|FK228|N-[(3S,4E)-3-Hydroxy-7-mercapto-1-oxo-4-heptenyl]-D-valyl-D-cysteinyl-(2Z)-2-amino-2-butenoyl-L-valine, (4->1) Lactone, Cyclic|Depsipeptide|romidepsin|Antibiotic FR 901228|FR901228|L-Valine, N-(3-Hydroxy-7-Mercapto-1-Oxo-4-Heptenyl)-D-Valyl-D-Cysteinyl-(Z)-2,3 -Didehydro-2-Aminobutanoyl-, xi-Lactone, Cyclic (1-2)-Disulfide, (S-(E))-|N-[(3S,4E)-3-Hydroxy-7-mercapto-1-oxo-4-heptenyl]-D-valyl-D-cysteinyl-(2Z)-2-amino-2-butenoyl-L-valine, (4-1) Lactone, Cyclic|
Cisplatin-E Therapeutic Implant	CDDP-e therapeutic implant|Cisplatin/Epinephrine Gel|CDDP/epi|CEG|Cisplatin-Epinephrine|MP 5010 TI|MP 5010 Therapeutic Implant|Cisplatin-E Therapeutic Implant|Intradose|Intradose MPI-5010|MPI 5010|CDDP/epi gel|
Pictilisib	PICTILISIB|GDC0941|2-(1H-indazol-4-yl)-6-((4-(methanesulfonyl)piperazin-1-yl)methyl)-4-(morpholin-4-yl)thieno(3,2-d)pyrimidine|4-(2-(1H-indazol-4-yl)-6-((4-(methylsulfonyl)piperazin-1-yl)methyl)thieno(3,2-d)pyrimidin-4-yl)morpholine|GDC 0941|Pictilisib|GDC-0941|
Bosutinib Monohydrate	BOSUTINIB MONOHYDRATE|3-Quinolinecarbonitrile, 4-((2,4-Dichloro-5-methoxyphenyl)amino)-6-methoxy-7-(3-(4-methyl-1-piperazinyl)propoxy)-, Hydrate (1:1)|Bosulif|SKI-606 Monohydrate|Bosutinib Monohydrate|
Liposomal Curcumin	Curcumin Liposome|Liposomal Curcumin|
Retaspimycin Hydrochloride	RETASPIMYCIN HYDROCHLORIDE|Geldanamycin, 18,21-didehydro-17-demethoxy-18,21-dideoxo-18,21-dihydroxy-17-(2-propenylamino)-, monohydrochloride|17-Allylamino-17-demethoxygeldanamycin hydroquinone hydrochloride|IPI-504|Retaspimycin Hydrochloride|
siRNA-transfected Peripheral Blood Mononuclear Cells APN401	APN401|siRNA-transfected Peripheral Blood Mononuclear Cells APN401|siRNA-transfected PBMC APN401|
Cisplatin/Vinblastine/Cell Penetration Enhancer Formulation INT230-6	Cisplatin/Vinblastine/Cell Penetration Enhancer Formulation INT230-6|INT230-6|Cisplatin/Vinblastine Formulation with Cell Penetration Enhancer INT230-6|INT 230-6|
Liposomal Vinorelbine	Liposomal Vinorelbine|
Trastuzumab/Tesirine Antibody-drug Conjugate ADCT-502	ADC ADCT-502|ADCT-502|Trastuzumab/Tesirine Antibody-drug Conjugate ADCT-502|ADCT502|ADCT 502|Anti-HER2/PBD ADC ADCT 502|
Akt Inhibitor MK2206	Akt inhibitor MK2206|MK 2206 FREE BASE|Akt Inhibitor MK2206|MK-2206|MK2206|1,2,4-Triazolo(3,4-f)(1,6)naphthyridin-3(2H)-one, 8-(4-(1-aminocyclobutyl)phenyl)-9-phenyl-|
Pomalidomide	4-Amino-2-(2,6-dioxo-3-piperidyl)isoindoline-1,3-dione|CC-4047|Imnovid|4-Aminothalidomide|Actimid|Pomalidomide|Pomalyst|POMALIDOMIDE|pomalidomide|3-Amino-N-(2,6-dioxo-3-piperidyl)phthalimide|
Exicorilant	CORT-1252|Glucocorticoid Receptor Antagonist CORT125281|WHO 10854|EXICORILANT|Methanone, ((4aR,8aS)-1-(4-Fluorophenyl)-1,4,5,6,7,8,8a,9-octahydro-6-((2-methyl-2H-1,2,3-triazol-4-yl)sulfonyl)-4ah-pyrazolo(3,4-g)isoquinolin-4a-yl)(4-(trifluoromethyl)-2-pyridinyl)-|CORT 125281|Exicorilant|CORT125281|
MTF-1 Inhibitor APTO-253 HCl	LT-253 HCl|LOR-253 HCl|APTO-253 HCl|MTF-1 Inhibitor APTO-253 HCl|2-(6-Fluoro-2-methyl-1H-indol-3-yl)-1H-imidazo[4,5-f][1,10]phenanthroline Hydrochloride|
Caffeic Acid Phenethyl Ester	CAFFEIC ACID PHENETHYL ESTER|3-(3,4-Dihydroxyphenyl)-2-propenoic Acid, 2-Phenylethyl Ester|Caffeic Acid Phenethyl Ester|CAPE|2-Phenylethyl 3-(3,4-dihydroxyphenyl)-2-propenoate|
Nanoparticle Paclitaxel Ointment SOR007	SOR007|SOR007 Ointment|Topical Nanoparticle Paclitaxel Ointment|NanoPac Ointment|Nanopartcle Paclitaxel SOR007|Nanoparticle Paclitaxel Ointment SOR007|Uncoated Nanoparticle Paclitaxel Ointment|
Topical Celecoxib	DFD-07|Celecoxib Topical|DFD07|Celecoxib Cream|Topical Celecoxib|
Fosgemcitabine Palabenamide	Gemictabine ProTide|Acelarin|FOSGEMCITABINE PALABENAMIDE|NUC 1031|Fosgemcitabine Palabenamide|NUC-1031|
Tegavivint	9,10-Anthracenedione, 2,7-bis(((3R,5S)-3,5-dimethyl-1-piperidinyl)sulfonyl)-, 9,10-dioxime, rel-|BC2059|TEGAVIVINT|BC 2059|Tegatrabetan|Tegavivint|BC-2059|
Crizotinib	Crizotinib|MET Tyrosine Kinase Inhibitor PF-02341066|Xalkori|2-Pyridinamine, 3-((1R)-1-(2,6-Dichloro-3-Fluorophenyl)Ethoxy)-5-(1-(4-Piperidinyl)-1H-Pyrazol-4-yl)-|PF-02341066|CRIZOTINIB|PF-2341066|MET tyrosine kinase inhibitor PF-02341066|(R)-3-(1-(2,6-Dichloro-3-Fluorophenyl)Ethoxy)-5-(1-(Piperidin-4-Yl)-1h-Pyrazol-4-Yl)Pyridin-2-Amine|
Dasatinib	Dasatinib|dasatinib|Sprycel|Dasatinib Monohydrate|BMS-354825|DASATINIB|5-Thiazolecarboxamide, N-(2-chloro-6-methylphenyl)-2-((6-(4-(2-hydroxyethyl)-1-piperazinyl)-2-methyl-4-pyrimidinyl)amino)-, Monohydrate|Dasatinib Hydrate|
Eribulin	Eribulin|ERIBULIN|ER-086526|2-(3-Amino-2-hydroxypropyl)hexacosahydro-3-methoxy-26-methyl-20,27-bis(methylene)11,15-18,21-24,28-triepoxy-7,9-ethano-12,15-methano-9H,15H-furo(3,2-i)furo(2',3'-5,6)pyrano(4,3-b)(1,4)dioxacyclopentacosin-5-(4H)-one|
Imatinib	Imatinib|IMATINIB|4-[(4-Methyl-1-piperazinyl)methyl]-N-[4-methyl-3-[[4-(3-pyridinyl)-2-pyrimidinyl]amino]phenyl]benzamide|
MET Tyrosine Kinase Inhibitor SGX523	SGX523|MET Tyrosine Kinase Inhibitor SGX523|
Dual IGF-1R/InsR Inhibitor BMS-754807	BMS-754807|Dual IGF-1R/InsR Inhibitor BMS-754807|
JAK Inhibitor INCB047986	INCB 047986|JAK Inhibitor INCB047986|INCB-047986|INCB047986|
Abiraterone	CB 7598|Abiraterone|17-(3-Pyridyl)androsta-5,16-dien-3beta-ol|ABIRATERONE|
Cationic Liposome-Encapsulated Paclitaxel	EndoTAG-1|LipoPac|Cationic Liposome-Encapsulated Paclitaxel|MBT-0206|
CDK Inhibitor SNS-032	BMS-387032|CDK Inhibitor SNS-032|SNS-032|
Tretinoin Liposome	All-trans-retinoic acid liposomal|Liposomal all-trans-retinoic acid|TretinoinLF|Atragen|Liposomal tretinoin|Tretinoin Liposome|AR-623|Tretinoin Liposomal|
Tozasertib Lactate	TOZASERTIB LACTATE|Tozasertib Lactate|MK-0457|Propanoic acid, 2-hydroxy-, (2S)-, compd. with N-(4-((4-(4-methyl-1-piperazinyl)-6-((5-methyl-1H-pyrazol-3-yl)amino)-2-pyrimidinyl)thio)phenyl)cyclopropanecarboxamide|Aurora Kinase Inhibitor MK-0457|L-001281814|VX-680|
Isocoumarin NM-3	NM-3|Isocoumarin NM-3|
Ralimetinib Mesylate	LY-2228820|LY2228820 Dimesylate|Ralimetinib Mesylate|Ralimetinib Dimesylate|3H-Imidazo(4,5-b)pyridin-2-amine, 5-(2-(1,1-dimethylethyl)-4-(4-fluorophenyl)-1H-imidazol-5-yl)-3-(2,2-dimethylpropyl)-, Methanesulfonate (1:2)|LY2228820|RALIMETINIB MESYLATE|
Anti-CTLA4 MoAb RNA/GITRL RNA-transfected Autologous Dendritic Cell Vaccine	anti-CTLA-4 mAb Heavy and Light Chain RNA/GITRL RNA-transfected Autologous DC|Anti-CTLA4 MoAb RNA/GITRL RNA-transfected Autologous Dendritic Cell Vaccine|GITRL/antiCTLA4 RNA DC|
Lapatinib Ditosylate	lapatinib ditosylate|4-Quinazolinamine, N-(3-chloro-4-((3-fluorophenyl)methoxy)phenyl)-6-(5-(((2-(methylsulfonyl)ethyl)amino)methyl)-2-furanyl), bis(4-methylbenzenesulfonate), Monohydrate|LAPATINIB DITOSYLATE|Lapatinib Ditosylate|Tykerb|
Bosutinib	4-Anilino-3-quinolinecarbonitrile|BOSUTINIB|4-[(2,4-dichloro-5-methoxyphenyl)amino]-6-methoxy-7-[3-(4-methylpiperazin-1-yl)propoxy]quinoline-3-carbonitrile|SKI 606|Bosulif|SKI-606|4-Anilinobenzo(g)quinoline-3-carbonitrile|Bosutinib|
Pemetrexed	Multitargeted Antifolate|PEMETREXED|MTA|Pemetrexed|L-Glutamic Acid, N-(4-(2-(2-Amino-4,7-dihydro-4-oxo-1H-pyrrolo(2,3-d)pyrimidin-5-yl)ethyl)benzoyl)|
Trastuzumab Deruxtecan	Enhertu|DS-8201a|Fam-trastuzumab Deruxtecan-nxki|TRASTUZUMAB DERUXTECAN|DS-8201|Trastuzumab Deruxtecan|WHO 10516|
Irinotecan-Eluting Beads	CM-BC2|Irinotecan Hydrochloride Drug-eluting Beads|Irinotecan-Eluting Beads|
HER2-targeted Liposomal Doxorubicin Hydrochloride MM-302	HER2-targeted Liposomal Doxorubicin Hydrochloride MM-302|MM-302|
Elesclomol Sodium	Elesclomol Sodium|STA-4783|elesclomol sodium|Propanedioic Acid, Bis[2-methyl-2-(phenylthioxomethyl)hydrazide], Sodium Salt|1-N'-benzenecarbothioyl-3-(2-benzenecarbothioyl-2-methylhydrazinyl)-N'-methyl- oxopropanehydrazidide Sodium|ELESCLOMOL SODIUM|
Lestaurtinib	9,12-Epoxy-1H-diindolo(1,2,3-fg:3',2',1'-kl)pyrrolo(3,4-i)(1,6)benzodiazocin-1-one, 2,3,9,10,11,12-hexahydro-10-hydroxy-10-(hydroxymethyl)-9-methyl-, (9S,10S,12R)-|Lestaurtinib|CEP-701|SPM-924|KT-5555|LESTAURTINIB|lestaurtinib|
Sorafenib Tosylate	sorafenib tosylate|Sorafenib Tosylate|sorafenib|SORAFENIB TOSYLATE|BAY 43-9006 Tosylate|BAY 54-9085|4-(4-(3-(4-Chloro-3-trifluoromethylphenyl)ureido)phenoxy)pyridine-2-carboxyllic Acid Methyamide-4-methylbenzenesulfonate Tosylate|Nexavar|
mTOR Kinase Inhibitor OSI-027	mTOR Kinase Inhibitor OSI-027|OSI-027|Mammalian Target of Rapamycin Kinase Inhibitor OSI-027|
Trastuzumab Monomethyl Auristatin F	FS-1502|Antibody-drug Conjugate FS-1502|Trastuzumab MMAF|Trastuzumab Monomethyl Auristatin F|FS1502|FS 1502|Anti-HER2 ADC FS-1502|ADC FS-1502|
Sorafenib	BA4 43 9006|sorafenib|Bay-439006|Sorafenib|SORAFENIB|BAY 43-9006|
Mitoxantrone Hydrochloride	1,3-Dihydroxy-5,8-bis[[2-[(2-hydroxyethyl)amino]ethyl]amino]-9, 10-anthracenedione Dihydrochloride|Mitozantrone Hydrochloride|Mitroxone|Neotalem|MITOXANTRONE HYDROCHLORIDE|Novantrone|Mitoxantroni Hydrochloridum|DHAQ|1,4-Dihydroxy-5,8-bis[[2-[(2-hydroxyethyl)amino]ethyl]amino]-9, 10-anthroquinone Dihydrochloride|Mitoxantrone Hydrochloride|DHAD|Onkotrone|Dihydroxyanthracenedione Dihydrochloride|Pralifan|Mitoxantrone Dihydrochloride|CL 232315|
Raloxifene	RALOXIFENE|Raloxifene|raloxifene|[6-Hydroxy-2-(4-hydroxyphenyl)-benzo[b]thien-3-yl][4-[2-(1-piperidinyl)ethoxy]phenyl]methanone|LY 139481|Keoxifene|
Cabozantinib S-malate	Cometriq|XL184|BMS-907351|CABOZANTINIB S-MALATE|Cabometyx|XL-184|Butanedioic acid, 2-hydroxy-, (2S)-, compd. with N-[4-[(6,7-dimethoxy-4-quinolinyl)oxy]phenyl]-N'-(4-fluorophenyl)-1,1-cyclopropanedicarboxamide (1:1)|Cabozantinib S-malate|
Nilotinib	Nilotinib|AMN 107 Base Form|nilotinib|4-Methyl-3-((4-(3-pyridinyl)-2-pyrimidinyl)amino)-N-(5-(4-methyl-1H-imidazol-1-yl)-3-(trifluoromethyl)phenyl)benzamide|NILOTINIB|
CDK Inhibitor AT7519	CDK inhibitor AT7519M|CDKI AT7519|CDK Inhibitor AT7519|Cyclin-Dependent Kinase Inhibitor AT7519M|AT7519M|AT7519|
Palbociclib Isethionate	PD 0332991-0054|PALBOCICLIB ISETHIONATE|Palbociclib Isethionate|PF-00080665-73|6-Acetyl-8-cyclopentyl-5-methyl-2-((5-(piperazin-1-yl)pyridin-2-yl)amino(pyrido(2,3-d)pyrimidin-7(8h)-one mono(2-hydroxyethanesulfonate)|
Oral Ixabepilone	Oral Ixabepilone|
Cytarabine Monophosphate Prodrug MB07133	Cytarabine Monophosphate Prodrug MB07133|Cytarabine Prodrug MB07133|MB07133|(2R,4S)-4-amino-1-[5-O-[2-oxo-4-(4-pyridyl)-1,3,2-dioxaphosphorinan-2-yl]-beta-d-arabinofuranosyl]-2(1H)-pyrimidinone|
Lovastatin	LOVASTATIN|Mevacor|(2S)-2-Methylbutanoic Acid, (1S,3R,7S,8S,8aR)-1,2,3,7,8,8a-Hexahydro-3,7-dimethyl-8-[2-[(2R,4R)-tetrahydro-4-hydroxy-6-oxo-2H-pyran-2-yl]ethyl]-1-naphthalenyl Ester|Lovastatin|Lovastatin Sodium|Monacolin K|lovastatin|Mevinolin|
Vatalanib Succinate	CGP 79787D|PTK 787|ZK 222584|1-[4-Chloroanilino]-4-[4-pyridylmethyl]phthalazine Succinate|Butanedioic Acid, Compd. with N-(4-Chlorophenyl)-4-(4-pyridinylmethyl)-1-phthalazinamine (1:1)|PTK787|VATALANIB SUCCINATE|Vatalanib Succinate|PTK-787|
Everolimus Tablets for Oral Suspension	Everolimus Tablets for Oral Suspension|Afinitor Disperz|
Menatetrenone	Menaquinone-4|2-Methyl-3-trans-tetraprenyl-1,4-naphthoquinone|Menaquinone K4|E0167|Vitamin MK 4|Menatetrenone|MENATETRENONE|
c-Met Inhibitor JNJ-38877605	JNJ-38877605|c-Met Inhibitor JNJ-38877605|
Cytarabine	.beta.-Cytosine arabinoside|cytarabine|1.beta.-D-Arabinofuranosylcytosine|2(1H)-Pyrimidinone, 4-Amino-1-beta-D-arabinofuranosyl-|Beta-cytosine Arabinoside|Erpalfa|2(1H)-Pyrimidinone, 4-amino-1.beta.-D-arabinofuranosyl-|CHX-3311|Udicil|Cytarabine|Aracytidine|Aracytin|1-Beta-D-arabinofuranosylcytosine|Arabinofuranosylcytosine|U 19920|U-19920|Cytosine-.beta.-arabinoside|ARA-cell|Cytosar|Aracytine|Cytarabinum|Cytarbel|1-.beta.-D-Arabinofuranosyl-4-amino-2(1H)pyrimidinone|Cytosine-beta-arabinoside|Alexan|CYTARABINE|Arabine|Cytosar-U|Ara-C|WR-28453|Starasid|1-Beta-D-arabinofuranosyl-4-amino-2(1H)pyrimidinone|1-.beta.-D-Arabinofuranosylcytosine|Cytosine Arabinoside|Arabinosylcytosine|Beta-Cytosine Arabinoside|4-Amino-1-beta-D-arabinofuranosyl-2(1H)-pyrimidinone|Tarabine PFS|
Paclitaxel Poliglumex	Polyglutamic Acid Paclitaxel|paclitaxel poliglumex|PG-TXL|CT-2103|Paclitaxel Poliglumex|Paclitaxel-Polyglutamate Polymer|CT2103|PACLITAXEL POLIGLUMEX|Paclitaxel Polyglutamate|Poly-L-Glutamic acid-Paclitaxel Conjugate|Xyotax|paclitaxel polyglutamate|
Resveratrol	RESVERATROL|3,4',5-Stilbenetriol|(E)-5-[2-(4-Hydroxyphenyl)ethenyl]-1,3-benzenediol|Resveratrol|resveratrol|
Pazopanib Hydrochloride	GW786034B|PAZOPANIB HYDROCHLORIDE|Pazopanib Hydrochloride|Votrient|pazopanib hydrochloride|5-((4-((2,3-Dimethyl-2h-Indazol-6-Yl)Methylamino)Pyrimidin-2-yl)Amino)-2-Methylbenzenesulfonamide Monohydrochloride|
Gemcitabine Hydrochloride Emulsion	D07001-F4|Gemcitabine Hydrochloride Emulsion|
Birabresib	BIRABRESIB|6H-Thieno(3,2-f)(1,2,4)triazolo(4,3-a)(1,4)diazepine-6-acetamide, 4-(4-Chlorophenyl)-N-(4-hydroxyphenyl)-2,3,9-trimethyl-, (6S)-|OTX015|Birabresib|BRD 2/3/4 Inhibitor OTX015|MK-8628|
Foretinib	MET/VEGFR-2 inhibitor GSK1363089|FORETINIB|Multitargeted Tyrosine Kinase Inhibitor GSK1363089|XL880|N-(3-Fluoro-4-((6-methoxy-7-(3-(morpholin-4-yl)propoxy)quinolin-4-yl)oxy)phenyl)-N'-(4-fluorophenyl)cyclopropane-1,1-dicarboxamide|Foretinib|GSK1363089|foretinib|
Onalespib	(2,4-Dihydroxy-5-isopropylphenyl)-(5-(4-methylpiperazin-1-ylmethyl)-1,3-dihydroisoindol-2-yl)methanone|ONALESPIB|AT-13387|AT13387|Onalespib|AT 13387|
Venetoclax	ABT-0199|VENETOCLAX|GDC-0199|Venclyxto|RG7601|Venclexta|4-(4-((2-(4-Chlorophenyl)-4,4-dimethylcyclohex-1-en-1-yl)methyl)piperazin-1-yl)-N-((3-nitro-4-((tetrahydro-2H-pyran-4-ylmethyl)amino)phenyl)sulfonyl)-2-(1H-pyrrolo(2,3-b)pyridin-5-yloxy)benzamide|ABT199|ABT-199|Venetoclax|
Ceritinib	LDK378|2,4-Pyrimidinediamine, 5-chloro-N4-(2-((1-methylethyl)sulfonyl)phenyl)-N2-(5-methyl-2-(1-methylethoxy)-4-(4-piperidinyl)phenyl)-|LDK 378|CERITINIB|Zykadia|Ceritinib|
Liposomal Eribulin Mesylate	Liposomal Eribulin Mesylate|E7389 Liposomal Formulation|E7389-LF|
Vinorelbine Tartrate Emulsion	Vinorelbine Tartrate Emulsion|Vinorelbine Tartrate Injectable Emulsion|ANX-530|
FGFR Inhibitor AZD4547	AZD4547|FGFR Inhibitor AZD4547|
OPCs/Green Tea/Spirullina/Curcumin/Antrodia Camphorate/Fermented Soymilk Extract Capsule	OPCs/Green Tea/Spirullina/Curcumin/Antrodia Camphorate/Fermented Soymilk Extract Capsule|MB-6|Oligomeric Proanthocyanidins/Green Tea/Spirullina/Curcumin/Antrodia Camphorate/Fermented Soymilk Extract Capsule|
Plk1 Inhibitor BI 2536	BI-2536|Plk1 Inhibitor BI 2536|BI 2536|
Paclitaxel Trevatide	ANG1005|Paclitaxel Trevatide|ANG-1005|PACLITAXEL TREVATIDE|GRN1005|
Vinorelbine Tartrate Oral	Vinorelbine Tartrate Oral|
Niraparib	MK-4827|MK4827|Niraparib|NIRAPARIB|
Tipifarnib	TIPIFARNIB|R115777|Zarnestra|(+)-6-[Amino(4-chlorophenyl)(1-methyl-1H-imidazol-5-yl)methyl]-4-(3-chlorophenyl)-1-methyl-2(1H)-quinolinone|Tipifarnib|tipifarnib|
Dactinomycin	Actinomycin D|Lyovac cosmegen|dactinomycin|2-bis[Cyclo(N-methyl-L-valyl-sarcosyl-L-prolyl-D-valyl-L-threonyl)]-1,9 dimethyl-4,6 3H-phenoxazinone-3|Dactinomycin|Lyovac Cosmegen|ACTINOMYCIN D|Actinomycin-[thr-val-pro-sar-meval]|DACT|Dactinomycine|Actinomycin C1|Meractinomycin|Actinomycin X 1|Actinomycin IV|Actinomycin I1|Actinomycin A IV|Cosmegen|DACTINOMYCIN|
Autologous Mesothelin-specific Human mRNA CAR-transfected PBMCs MCY-M11	MCY-M11|Anti-mesothelin mRNA-transfected Autologous PBMCs MCY-M11|Autologous Mesothelin-specific Human mRNA CAR-transfected PBMCs MCY-M11|
Autologous OFA-iLRP RNA-Transfected Dendritic Cell Vaccine	Autologous OFA-iLRP RNA-Transfected Dendritic Cell Vaccine|
Imatinib Mesylate	4-[(4-Methyl-1-piperazinyl)methyl]-N-[4-methyl-3-[[4-(3-pyridinyl)-2-pyrimidinyl]amino]phenyl]benzamide Monomethanesulfonate|CGP 57148|STI571|CGP57148B|STI 571|Gleevec|Glivec|STI-571|imatinib mesylate|Imatinib Mesylate|IMATINIB MESYLATE|
Irinotecan Hydrochloride	Camptothecin 11|IRINOTECAN HYDROCHLORIDE|Irinomedac|Campto|CPT-11|Irinotecan Hydrochloride Trihydrate|Irinotecan Hydrochloride|Camptothecin-11|Irinotecan Monohydrochloride Trihydrate|CPT 11|U-101440E|irinotecan hydrochloride|Camptosar|
Cisplatin Liposomal	Cisplatin, Liposomal|STEALTH Liposomal Cisplatin|STEALTH Liposomal Encapsulated Cisplatin|STEALTH Cisplatin|Liposomal Cisplatin|SPI-77|SPI-077|STEALTH Liposome Cisplatin|Cisplatin Liposomal|
Halofuginone	Halofuginone|trans-(+/-)-7-Bromo-6-chloro-3-[3-(3-hydroxy-2-piperidinyl)-2-oxopropyl]-4(3H)-quinazolinone|HALOFUGINONE|
JAK2 Inhibitor AZD1480	JAK2 Inhibitor AZD1480|AZD1480|
Satraplatin	(OC-6-43)-bis(acetato-O)amminedichloro(cyclohexanamine)platinum|platinum,bis(acetato-O)amminedichloro(cyclohexanamine)-,(OC-6-43)|Orplatna|Satraplatin|(OC-6-43)-bis(acetato)amminedichloro(cyclohexylamine)platinum|BMS-182751|JM-216|JM 216|BMY-45594|satraplatin|SATRAPLATIN|
DHA-Paclitaxel	Taxoprexin|Docosahexaenoic Acid-Paclitaxel conjugate|DHA-Paclitaxel|DHA-paclitaxel|TXP|
Molibresib	GSK525762|I-BET 762|GSK-525762A|Molibresib|MOLIBRESIB|
Capecitabine Rapidly Disintegrating Tablet	Capecitabine RDT|Capecitabine Rapidly Disintegrating Tablet|
Anti-CTLA4 MoAb RNA-transfected Autologous Dendritic Cell Vaccine	anti-CTLA-4 mAb Heavy and Light Chain RNA-transfected Autologous DC|antiCTLA4 RNA DC|Anti-CTLA4 MoAb RNA-transfected Autologous Dendritic Cell Vaccine|
Lead Pb 212 TCMC-trastuzumab	Lead Pb 212 TCMC-Herceptin|[212]Pb TCMC-Herceptin|[212]Pb TCMC-trastuzumab|Lead Pb 212 TCMC-trastuzumab|
Birinapant	TL32711|BIRINAPANT|Propanamide, N,N'-[(6,6'-difluoro[2,2'-bi-1H-indole]-3,3'-diyl)bis[methylene[(2R,4S)-4-hydroxy-2,1-pyrrolidinediyl][(1S)-1-ethyl-2-oxo-2,1-ethanediyl]]]bis[2-(methylamino)-,(2S,2'S)-|Birinapant|
mTOR Kinase Inhibitor PP242	PP-242|2-(4-Amino-1-isopropyl-1H-pyrazolo(3,4-d)pyrimidin-3-yl)-1H-indol-5-ol|PP242|mTOR Kinase Inhibitor PP242|
Atezolizumab	MPDL 3280A|MPDL328OA|MPDL 328OA|Tecentriq|Immunoglobulin G1, Anti-(human CD Antigen cd274) (Human Monoclonal MPDL3280A Heavy Chain), Disulfide with Human Monoclonal MPDL3280A Kappa-chain, Dimer|ATEZOLIZUMAB|MPDL-3280A|RG7446|MPDL3280A|RO5541267|Atezolizumab|
Regorafenib	Regorafenib|Stivarga|REGORAFENIB|BAY 73-4506|4-(4-(((4-chloro-3-(trifluoromethyl)phenyl)carbamoyl)amino)-3-fluorophenoxy)-N-methylpyridine-2-carboxamide|
Rofecoxib	Vioxx|rofecoxib|MK 966|Rofecoxib|ROFECOXIB|4-[4'-(Methylsulfonyl)phenyl]-3-phenyl-2(5H)-furanone|
Sapanisertib	SAPANISERTIB|TAK-228|INK-128|Sapanisertib|MLN0128|MLN-0128|INK128|
Selumetinib Sulfate	5-((4-Bromo-2-Chlorophenyl)amino)-4-Fluoro-N-(2-Hydroxyethoxy)-1-Methyl-1H- Benzimidazole-6-Carboxamide Sulphate|AZD6244 Hydrogen Sulfate|AZD-6244 Hydrogen Sulfate|SELUMETINIB SULFATE|Selumetinib Sulfate|Selumetinib Sulphate|5-((4-Bromo-2-Chlorophenyl)amino)-4-Fluoro-N-(2-Hydroxyethoxy)-1-Methyl-1H- Benzimidazole-6-Carboxamide Sulfate|AZD6244 Hydrogen Sulphate|Koselugo|1h-Benzimidazole-6-Carboxamide,5-((4-Bromo-2-Chlorophenyl)Amino)-4-Fluoro-N-(2- Hydroxyethoxy)-1-Methyl-, Sulphate (1:1)|1H-Benzimidazole-6-Carboxamide, 5-((4-Bromo-2-Chlorophenyl)Amino)-4-Fluoro-N-(2- Hydroxyethoxy)-1-Methyl-, Sulfate (1:1)|
Dactolisib	DACTOLISIB|NVPBEZ235|BEZ235|Dactolisib|Benzeneacetonitrile, 4-(2,3-Dihydro-3-methyl-2-oxo-8-(3-quinolinyl)-1H-imidazo(4,5-c)quinolin-1-yl)-alpha,alpha-dimethyl-|
Lucitanib	1-Naphthalenecarboxamide, 6-((7-((1-aminocyclopropyl)methoxy)-6-methoxy-4-quinolinyl)oxy)-n-methyl-|Lucitanib|E-3810|AL3810|LUCITANIB|
Metformin Hydrochloride	Glifage|N,N-Dimethylimidodicarbonimidic Diamide Monohydrochloride|Dimefor|METFORMIN HYDROCHLORIDE|Metformin Hydrochloride|Riomet|Siofor|Cidophage|Glucophage ER|Metformin HCl|metformin hydrochloride|1,1-Dimethylbiguanide Hydrochloride|APO-Metformin|Glucoformin|Glucophage|
Abiraterone Acetate	17-(3-Pyridyl)-5,16-androstadien-3beta-acetate|Androsta-5,16-dien-3-ol, 17-(3-pyridinyl)-, acetate (ester), (3beta)-|ABIRATERONE ACETATE|abiraterone acetate|CB7630|Yonsa|Zytiga|Abiraterone Acetate|
Momelotinib	MOMELOTINIB|N-(Cyanomethyl)-4-(2-((4-(morpholin-4-yl)phenyl)amino)pyrimidin-4-yl)benzamide|CYT387|GS-0387|Momelotinib|
Linoleyl Carbonate-Paclitaxel	Linoleyl Carbonate-Paclitaxel|2-Linoleyl Carbonate-paclitaxel|LOC-paclitaxel|Linoleyl Carbonate-paclitaxel|
Ropidoxuridine	Ropidoxuridine|5-Iodo-2-pyrimidinone 2' deoxyribonucleoside|2(1H)-Pyrimidinone, 1-(2-deoxy-beta-D-erythro-pentofuranosyl)-5-iodo-|IPdR|5-Iodo-2-pyrimidinone-2'-deoxyribose|ROPIDOXURIDINE|
Carbon C-14 Dacomitinib	Carbon C-14 Dacomitinib|[14C]PF-00299804|Carbon C 14 PF-00299804|
Pembrolizumab	Immunoglobulin G4, Anti-(Human Programmed Cell Death 1); Humanized Mouse Monoclonal (228-L-proline(H10-S>P))gamma 4 Heavy Chain (134-218')-disulfide with Humanized Mouse Monoclonal Kappa Light Chain Dimer (226-226'':229-229'')-bisdisulfide|Pembrolizumab|MK-3475|PEMBROLIZUMAB|Keytruda|Lambrolizumab|SCH 900475|
Sunitinib	sunitinib|Sunitinib|SUNITINIB|1H-Pyrrole-3-carboxamide, N-(2-(diethylamino)ethyl)-5-((Z)-(5-fluoro-1,2-dihydro-2-oxo-3H-indol-3-ylidene)methyl)-2,4-dimethyl-|
Mucoadhesive Paclitaxel Formulation	Mucoadhesive Paclitaxel Formulation|DHP107|
