7-oxo K252a	
Torkinib	CHEBI:90679
Torkinib	"2-[4-Amino-1-(Propan-2-Yl)-1h-Pyrazolo[3,4-D]pyrimidin-3-Yl]-1h-Indol-5-Ol"
Torkinib	"2-(4-Amino-1-isopropyl-1H-pyrazolo(3,4-d)pyrimidin-3-yl)-1H-indol-5-ol"
Torkinib	"(2E)-2-(4-amino-1-propan-2-yl-2H-pyrazolo[3,4-d]pyrimidin-3-ylidene)indol-5-ol"
Torkinib	"2-[4-Amino-1-(1-methylethyl)-1H-pyrazolo-[3,4-d]pyrimidin-3-yl]-1H-indol-5-ol"
Torkinib	DSSTox_CID_28611
Torkinib	DSSTox_RID_82881
Torkinib	DSSTox_GSID_48685
Torkinib	"2-(4-amino-1-propan-2-yl-2H-pyrazolo[3,4-d]pyrimidin-3-ylidene)-5-indolol"
Torkinib	CAS-1092351-67-1
Torkinib	PubChem22482
Torkinib	cc-25
Torkinib	MLS006011184
Torkinib	SCHEMBL298922
Torkinib	GTPL5704
Torkinib	CHEMBL1241674
Torkinib	CHEMBL3988893
Torkinib	DTXSID5048685
Torkinib	SCHEMBL21381567
Torkinib	BDBM36409
Torkinib	CHEBI:95099
Torkinib	AOB6296
Torkinib	EX-A034
Torkinib	QCR-154
Torkinib	SYN1181
Torkinib	HMS3655B12
Torkinib	BCP02319
Torkinib	Tox21_113072
Torkinib	ABP000904
Torkinib	MFCD12196869
Torkinib	s2218
Torkinib	ZINC36056301
Torkinib	AKOS024458060
Torkinib	AKOS026750472
Torkinib	PP242 /PP-242
Torkinib	Tox21_113072_1
Torkinib	ZINC110786306
Torkinib	ZINC139045302
Torkinib	CCG-267563
Torkinib	CS-0247
Torkinib	EX-7207
Torkinib	"1H-Indol-5-ol, 2-(4-amino-1-(1-methylethyl)-1H-pyrazolo(3,4-d)pyrimidin-3-yl)-"
Torkinib	CID24905147
Torkinib	NCGC00188346-02
Torkinib	NCGC00387863-04
Torkinib	AC-28392
Torkinib	AK546456
Torkinib	AS-16317
Torkinib	HY-10474
Torkinib	SMR004702953
Torkinib	AB0033726
Torkinib	FT-0696781
Torkinib	SW220211-1
Torkinib	X7434
Torkinib	A25462
Torkinib	W-5524
Torkinib	J-507663
Torkinib	BRD-K87112191-001-02-9
Torkinib	Q27088430
Torkinib	Q27166867
Torkinib	"2-(4-amino-1-isopropyl-1H-pyrazolo[3,4-d]pyrimidin-3-yl)-1H-indole-5-ol"
Torkinib	"(2Z)-2-(4-amino-1-propan-2-yl-2H-pyrazolo[3,4-d]pyrimidin-3-ylidene)indol-5-ol"
Torkinib	"2-(4-amino-1-isopropyl-1H-pyrazolo[3,4-d]pyrimidin-3-yl)-1H-indol-5-ol, PP242"
Torkinib	"2-(4-amino-1-propan-2-yl-2H-pyrazolo[3,4-d]pyrimidin-3-ylidene)indol-5-ol"
Torkinib	P2X
Tozasertib	VX-680
Tozasertib	MK-0457
