Drug	Brand_Name	FDA_Approval	Date_Posted	Date_Updated
Pomalidomide	Pomalyst	Yes	 February 13, 2013	 January 19, 2016
Ponatinib Hydrochloride	Iclusig	Yes	 December 26, 2012	 December 14, 2015
Necitumumab	Portrazza	Yes	 December 7, 2015	 March 3, 2016
Pralatrexate	FOLOTYN	Yes	 October 29, 2009	 September 13, 2011
Prednisone	NA	FDA Approved	 August 25, 2010	 January 21, 2016
Procarbazine Hydrochloride	Matulane	Yes	 August 28, 2010	 August 26, 2015
Aldesleukin	Proleukin	Yes	 October 30, 2008	 May 11, 2015
Denosumab	Prolia|Xgeva	Yes	 November 30, 2010	 October 23, 2014
Eltrombopag Olamine	Promacta	Yes	 December 29, 2008	 August 25, 2015
Sipuleucel-T	Provenge	Yes	 June 28, 2010	 July 31, 2014
Mercaptopurine	Purixan|Purinethol	Yes	 July 12, 2013	NA
Mercaptopurine	Purixan|Purinethol	Yes	 July 12, 2013	NA
Radium 223 Dichloride	Xofigo	Yes	 June 12, 2013	 October 23, 2014
Raloxifene Hydrochloride	Evista|Keoxifene hydrochloride	Yes	 October 26, 2007	 July 11, 2013
Ramucirumab	Cyramza	Yes	 May 8, 2014	 December 14, 2015
Rasburicase	Elitek	Yes	 November 25, 2009	 July 27, 2012
R-CHOP	NA	NA	 September 18, 2009	 May 29, 2012
R-CVP	NA	NA	 November 28, 2011	 May 29, 2012
Recombinant Human Papillomavirus (HPV) Bivalent Vaccine	Cervarix	Yes	 May 7, 2010	 July 8, 2015
Recombinant Human Papillomavirus (HPV) Nonavalent Vaccine	Gardasil 9	Yes	 December 29, 2014	 July 27, 2015
Recombinant Human Papillomavirus (HPV) Quadrivalent Vaccine	Gardasil	Yes	 May 7, 2010	 March 11, 2016
Recombinant Interferon Alfa-2b	Intron A	Yes	 March 8, 2013	NA
Regorafenib	Stivarga	Yes	 October 4, 2012	 August 27, 2015
R-EPOCH	NA	NA	 March 5, 2015	NA
Lenalidomide	Revlimid	Yes	 October 5, 2006	 January 19, 2016
Methotrexate	Rheumatrex|Trexall|Abitrexate|Folex PFS|Folex|Methotrexate LPF|Mexate-AQ|Mexate	Yes	 May 21, 2008	 July 16, 2013
Rituximab	Rituxan	Yes	 October 5, 2006	 October 23, 2014
Rituximab	Rituxan	Yes	 October 5, 2006	 October 23, 2014
Rolapitant Hydrochloride	Varubi	Yes	 September 11, 2015	 October 21, 2015
Romidepsin	Istodax	Yes	 November 30, 2009	 September 18, 2014
Romiplostim	Nplate	Yes	 October 1, 2008	 September 26, 2011
Daunorubicin Hydrochloride	Cerubidine	Yes	 September 30, 2009	 May 12, 2015
Ruxolitinib Phosphate	Jakafi	Yes	 December 2, 2011	 December 4, 2014
Talc	Sterile Talc Powder|Sclerosol Intrapleural Aerosol|Steritalc	Yes	 October 5, 2006	 September 27, 2011
Siltuximab	Sylvant	Yes	 May 2, 2014	 July 31, 2014
Sipuleucel-T	Provenge	Yes	 June 28, 2010	 July 31, 2014
Lanreotide Acetate	Somatuline Depot	Yes	 December 29, 2014	 March 31, 2015
Sonidegib	Odomzo	Yes	 July 30, 2015	 October 15, 2015
Sorafenib Tosylate	Nexavar	Yes	 October 5, 2006	 May 4, 2016
Dasatinib	Sprycel	Yes	 October 5, 2006	 September 17, 2014
STANFORD V	NA	NA	 September 18, 2009	 May 29, 2012
Talc	Sterile Talc Powder|Sclerosol Intrapleural Aerosol|Steritalc	Yes	 October 5, 2006	 September 27, 2011
Talc	Sterile Talc Powder|Sclerosol Intrapleural Aerosol|Steritalc	Yes	 October 5, 2006	 September 27, 2011
Regorafenib	Stivarga	Yes	 October 4, 2012	 August 27, 2015
Sunitinib Malate	Sutent	Yes	 October 5, 2006	 May 4, 2016
Sunitinib Malate	Sutent	Yes	 October 5, 2006	 May 4, 2016
Peginterferon Alfa-2b	Sylatron|PEG-Intron	Yes	 May 9, 2013	NA
Siltuximab	Sylvant	Yes	 May 2, 2014	 July 31, 2014
Thalidomide	Synovir|Thalomid	Yes	 October 5, 2006	 September 18, 2014
Omacetaxine Mepesuccinate	Synribo	Yes	 November 19, 2012	 February 22, 2013
Thioguanine	Tabloid	Yes	 September 2, 2015	NA
TAC	NA	NA	 November 20, 2013	NA
Dabrafenib	Tafinlar	Yes	 June 21, 2013	 December 3, 2015
Osimertinib	Tagrisso	Yes	 November 23, 2015	 March 3, 2016
Talc	Sterile Talc Powder|Sclerosol Intrapleural Aerosol|Steritalc	Yes	 October 5, 2006	 September 27, 2011
Talimogene Laherparepvec	Imlygic	Yes	 November 3, 2015	 March 3, 2016
Tamoxifen Citrate	Nolvadex	Yes	 October 5, 2006	 August 26, 2015
Cytarabine	Cytosar-U|Tarabine PFS	Yes	 June 15, 2007	 November 25, 2015
Erlotinib Hydrochloride	Tarceva	Yes	 October 5, 2006	 December 15, 2015
Bexarotene	Targretin	Yes	 January 25, 2007	 April 25, 2011
Nilotinib	Tasigna	Yes	 February 1, 2008	 September 18, 2014
Paclitaxel	Onxal|Taxol	Yes	 October 5, 2006	 September 18, 2014
Docetaxel	Taxotere injection concentrate|Taxotere	Yes	 October 5, 2006	 July 9, 2015
Temozolomide	Methazolastone|Temodar	Yes	 October 5, 2006	 November 30, 2012
Temozolomide	Methazolastone|Temodar	Yes	 October 5, 2006	 November 30, 2012
Temsirolimus	Torisel	Yes	 June 15, 2007	 October 28, 2011
Thalidomide	Synovir|Thalomid	Yes	 October 5, 2006	 September 18, 2014
Thalidomide	Synovir|Thalomid	Yes	 October 5, 2006	 September 18, 2014
Thioguanine	Tabloid	Yes	 September 2, 2015	NA
Thiotepa	NA	FDA Approved	 November 13, 2014	NA
Fluorouracil (Topical)	Carac|Tolak|Efudex|Fluoroplex	Yes	 January 15, 2016	 January 15, 2016
Topotecan Hydrochloride	Hycamtin	Yes	 October 5, 2006	 April 16, 2013
Toremifene	Farestone|Fareston	Yes	 August 28, 2009	 October 16, 2014
Temsirolimus	Torisel	Yes	 June 15, 2007	 October 28, 2011
Tositumomab and Iodine I 131 Tositumomab	Bexxar	Yes	 February 28, 2008	 October 2, 2015
Dexrazoxane Hydrochloride	Totect|Zinecard	Yes	 October 23, 2007	 September 17, 2014
TPF	NA	NA	 August 19, 2014	NA
Trabectedin	Yondelis	Yes	 November 3, 2015	 December 30, 2015
Trametinib	Mekinist	Yes	 June 21, 2013	 December 14, 2015
Trastuzumab	Herceptin	Yes	 October 5, 2006	 September 21, 2015
Bendamustine Hydrochloride	Treanda	Yes	 May 23, 2008	 September 17, 2014
Trifluridine and Tipiracil Hydrochloride	Lonsurf	Yes	 September 25, 2015	 January 14, 2016
Arsenic Trioxide	Trisenox	Yes	 January 25, 2007	 May 11, 2015
Lapatinib Ditosylate	Tykerb	Yes	 March 16, 2007	 November 6, 2012
Dinutuximab	Unituxin	Yes	 March 26, 2015	 July 7, 2015
Uridine Triacetate	Vistogard	Yes	 January 7, 2016	 January 7, 2016
VAC	NA	NA	 December 8, 2015	 December 8, 2015
Vandetanib	Caprelsa	Yes	 April 29, 2011	 October 23, 2014
VAMP	NA	NA	 December 22, 2011	 May 29, 2012
Rolapitant Hydrochloride	Varubi	Yes	 September 11, 2015	 October 21, 2015
Panitumumab	Vectibix	Yes	 October 5, 2006	 October 23, 2014
VeIP	NA	NA	 December 23, 2011	 October 2, 2014
Vinblastine Sulfate	Velban|Velsar	Yes	 February 3, 2011	 September 18, 2014
Bortezomib	VELCADE	Yes	 October 5, 2006	 September 17, 2014
Vinblastine Sulfate	Velban|Velsar	Yes	 February 3, 2011	 September 18, 2014
Vemurafenib	Zelboraf	Yes	 September 9, 2011	 December 14, 2015
Venetoclax	Venclexta	Yes	 April 13, 2016	 April 13, 2016
Venetoclax	Venclexta	Yes	 April 13, 2016	 April 13, 2016
Leuprolide Acetate	Lupron Depot-3 Month|Lupron Depot-4 Month|Lupron Depot-Ped|Lupron Depot|Lupron|Viadur	Yes	 May 1, 2008	 September 17, 2014
Azacitidine	Vidaza|Mylosar	Yes	 October 5, 2006	 September 17, 2014
Vinblastine Sulfate	Velban|Velsar	Yes	 February 3, 2011	 September 18, 2014
Vincristine Sulfate	Oncovin|Vincasar PFS|Vincosid|Vincrex	Yes	 December 10, 2008	 October 2, 2015
Vincristine Sulfate	Oncovin|Vincasar PFS|Vincosid|Vincrex	Yes	 December 10, 2008	 October 2, 2015
Vincristine Sulfate Liposome	Marqibo	Yes	 August 27, 2012	 July 10, 2013
Vinorelbine Tartrate	Navelbine	Yes	 June 2, 2011	 September 18, 2014
VIP	NA	NA	 October 2, 2014	NA
Vismodegib	Erivedge	Yes	 March 19, 2012	 October 23, 2014
Uridine Triacetate	Vistogard	Yes	 January 7, 2016	 January 7, 2016
Glucarpidase	Voraxaze	Yes	 February 18, 2012	 February 22, 2013
Vorinostat	Zolinza	Yes	 October 10, 2006	 November 4, 2011
Pazopanib Hydrochloride	Votrient	Yes	 November 25, 2009	 August 26, 2015
Leucovorin Calcium	Wellcovorin	Yes	 August 21, 2008	 July 11, 2013
Crizotinib	Xalkori	Yes	 October 11, 2011	 March 24, 2016
Capecitabine	Xeloda	Yes	 October 5, 2006	 September 20, 2013
XELIRI	NA	NA	 December 8, 2014	NA
XELOX	NA	NA	 January 6, 2012	 July 31, 2014
Denosumab	Prolia|Xgeva	Yes	 November 30, 2010	 October 23, 2014
Radium 223 Dichloride	Xofigo	Yes	 June 12, 2013	 October 23, 2014
Enzalutamide	Xtandi	Yes	 September 26, 2012	 October 23, 2014
Ipilimumab	Yervoy	Yes	 April 21, 2011	 December 15, 2015
Trabectedin	Yondelis	Yes	 November 3, 2015	 December 30, 2015
Ziv-Aflibercept	Zaltrap	Yes	 August 15, 2012	 February 1, 2013
Filgrastim	Zarxio|Neupogen	Yes	 June 29, 2009	 July 10, 2013
Vemurafenib	Zelboraf	Yes	 September 9, 2011	 December 14, 2015
Ibritumomab Tiuxetan	Zevalin	Yes	 February 26, 2008	 July 31, 2014
Dexrazoxane Hydrochloride	Totect|Zinecard	Yes	 October 23, 2007	 September 17, 2014
Ziv-Aflibercept	Zaltrap	Yes	 August 15, 2012	 February 1, 2013
Ondansetron Hydrochloride	Zofran	Yes	 July 28, 2015	NA
Goserelin Acetate	Zoladex	Yes	 November 20, 2013	 September 17, 2014
Zoledronic Acid	Zometa	Yes	 February 16, 2007	 September 18, 2014
Vorinostat	Zolinza	Yes	 October 10, 2006	 November 4, 2011
Zoledronic Acid	Zometa	Yes	 February 16, 2007	 September 18, 2014
Idelalisib	Zydelig	Yes	 July 30, 2014	 September 26, 2014
Ceritinib	Zykadia	Yes	 May 16, 2014	 December 3, 2015
Abiraterone Acetate	Zytiga	Yes	 May 16, 2011	 October 23, 2014
